feature,f_score,p_value,selected
psd_gamma_low,23.336521589629612,6.101297344601276e-38,True
spectral_edge,16.973966805094594,3.783169252920739e-28,True
higuchi_fd,15.019882738457616,5.8679299749629715e-25,True
zcr,13.645933482763384,1.161874791117991e-22,True
lempel_ziv,11.969687412658786,8.438772341863508e-20,True
spectral_entropy,11.61623514936834,3.4489983843305373e-19,True
ratio_beta_alpha,11.307422588552402,1.1861538643363889e-18,True
perm_entropy,10.350123734358716,5.624258785616685e-17,True
psd_beta,9.37164724234368,3.0351558260817872e-15,True
hjorth_mobility,9.004780877438176,1.3682906846989257e-14,True
ratio_theta_alpha,6.578292633387067,3.2213836046589296e-10,False
kurtosis,6.31056602761138,9.842054160358371e-10,False
dfa,6.287916427955769,1.0817297745752784e-09,False
energy_ratio,6.200290237232378,1.5590385358085327e-09,False
rel_alpha,6.073388880212884,2.6466888485763524e-09,False
wavelet_complexity,5.640708148005161,1.6056761678977825e-08,False
signal_coherence,5.372515875295984,4.8976934142588786e-08,False
hjorth_complexity,5.352428417908585,5.323847593755073e-08,False
psd_gamma_high,5.307825214822011,6.407036723658633e-08,False
median,5.1579210684833585,1.1931849101350363e-07,False
ind_alpha_power,5.020447195046356,2.1084084127850492e-07,False
psd_alpha,4.822632121187348,4.77426767964755e-07,False
microstate_var,4.772376667506683,5.87365495896511e-07,False
psd_delta,4.721615406702003,7.23997177706824e-07,False
dyn_conn_variance,4.694268859099598,8.10278809274236e-07,False
phase_locking_value,4.614807962532091,1.123500663317655e-06,False
skewness,4.521939345755445,1.645036485587877e-06,False
total_power,4.208307409574524,5.926549056746387e-06,False
ptp,3.9997670674290164,1.381108737823967e-05,False
sample_entropy,3.9703552247745866,1.555420849205893e-05,False
std,3.705046819886772,4.517688379675294e-05,False
mean,3.440778782710895,0.00012906811152672417,False
variance,3.250396001198491,0.0002724301573328384,False
hjorth_activity,3.250396001198491,0.0002724301573328384,False
energy,3.2063150908172795,0.0003234668959330087,False
psd_theta,2.362743973649519,0.007644542118211079,False
alpha_peak_freq,1.317582780731068,0.21127382697933444,False
