label_combination,best_model,n_samples,samples_imagery,samples_instruction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_imagery,recall_imagery,f1_imagery,precision_instruction,recall_instruction,f1_instruction,samples_baseline,precision_baseline,recall_baseline,f1_baseline
instruction_imagery,RandomForest,928,464.0,464.0,0.9913793103448276,0.9914614884325932,0.9913793103448276,0.9913789499598211,0.9914614884325931,0.9913793103448276,0.9913789499598211,0.9851063829787234,0.9978448275862069,0.9914346895074947,0.9978165938864629,0.9849137931034483,0.9913232104121475,,,,
instruction_baseline,RandomForest,928,,464.0,0.7489224137931034,0.7559715714510883,0.7489224137931034,0.7471818346574999,0.7559715714510883,0.7489224137931034,0.7471818346574998,,,,0.7984496124031008,0.665948275862069,0.7262044653349001,464.0,0.7134935304990758,0.8318965517241379,0.7681592039800995
imagery_baseline,SVM,928,464.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,464.0,1.0,1.0,1.0
