feature,min,max,mean,std,missing_pct
mean,-28.151000286228182,15.630188286560465,0.021027266868551792,2.388729827649008,0.0
median,-2.1515199554929723,3.246141225411975,0.5213815439882169,0.6696547427611582,0.0
variance,36.68097587557108,7863.240750903709,251.11840096545086,379.6353370961107,0.0
std,6.056482136981094,88.67491613135988,14.450612062952326,6.5037075558105615,0.0
skewness,-8.91651843914672,5.61240014318533,-0.26491228023784674,1.6271150881699417,0.0
kurtosis,0.0226784575779164,115.75560581690364,6.9196371657316975,8.844390618519622,0.0
zcr,0.0386363636363636,0.1274038461538461,0.07949735187545537,0.016039497316508337,0.0
energy,36.749082387376895,8655.719568018927,256.82487330090305,401.1841775628201,0.0
ptp,44.92571332739897,1598.6479809,147.6391522728387,102.53582897525922,0.0
psd_delta,2.01611587678667,84.66589308579381,7.730248636209581,5.69672040751519,0.0
psd_theta,0.9313770922358432,26.156343198510584,2.740256548572023,1.4272087346067186,0.0
psd_alpha,1.2027183245316224,30.31110028857822,5.943112573323794,4.075048745143382,0.0
psd_beta,0.4973994335575885,2.955896194918912,1.3639493479098588,0.4373511342311174,0.0
total_power,26.97302262054135,359.6759431088972,82.47531065858945,33.86757703144679,0.0
rel_alpha,0.0147850542973319,0.175146581278798,0.06911659954683493,0.02659777028590622,0.0
ratio_theta_alpha,0.0737574554940381,3.534730112044369,0.5865949930368997,0.30040173297149947,0.0
ratio_beta_alpha,0.0472486480578338,0.7912599258063823,0.2910845826537111,0.12930619667398793,0.0
spectral_edge,1.953125,30.2734375,23.05847505179558,3.549352498488267,0.0
sample_entropy,1.801129126090546,4.484977054862338,2.6022960416505065,0.3489802120052001,0.0
perm_entropy,0.6274011382217751,0.7481905022281059,0.7008203128162142,0.02496126892293575,0.0
higuchi_fd,1.2100667051886282,1.5317524383494003,1.3389744488062356,0.06526816076236988,0.0
hjorth_activity,36.68097587557108,7863.240750903709,251.11840096545086,379.6353370961107,0.0
hjorth_mobility,0.1274358121017583,0.408158057340397,0.23740888208914346,0.05728955484218991,0.0
hjorth_complexity,1.4863072399482635,4.108128892395849,2.2818072597894314,0.5331402026855848,0.0
spectral_entropy,0.8924307296770938,4.982895686242751,4.111439052911497,0.5219703685583695,0.0
lempel_ziv,50.0,405.0,131.52693370165747,54.870081045253905,0.0
phase_locking_value,0.1667820789243058,0.6443417546687498,0.33616412775124715,0.07491973225355932,0.0
alpha_peak_freq,8.30078125,12.6953125,11.016677097720995,1.0791190543943845,0.0
ind_alpha_power,0.9875771525545728,41.11580690062285,7.698861043156973,6.298390804014545,0.0
wavelet_complexity,5.617088708693596,9.797306479166762,7.70696984067251,0.6476763091419714,0.0
signal_coherence,0.1989349222342059,0.5064963992162148,0.3429381542497098,0.0479029726269619,0.0
dyn_conn_variance,0.0013577843661442,0.0358555588544765,0.008966678848781183,0.0036009460814910017,0.0
psd_gamma_low,0.0167087526720095,0.283682244804392,0.09126184240732929,0.05979639124812626,0.0
psd_gamma_high,1.0436648635703242e-06,0.0025856104000917,6.013981558524281e-05,0.00013918927113213366,0.0
dfa,0.6717803240097622,1.5960940224451887,0.9433798609285475,0.14423564846377346,0.0
energy_ratio,0.0613718380207521,73.37383335327925,1.489459536511146,3.4043617423242214,0.0
microstate_var,0.1342716635124862,0.3619798098243638,0.2649731520185148,0.03834163721213839,0.0
