feature,mutual_info,importance
psd_gamma_high,0.1480319435617341,100.0
zcr,0.0855197162057566,57.77112300771226
psd_alpha,0.08346738485655036,56.384711872503225
mean,0.08278460409564437,55.9234730719593
ind_alpha_power,0.06231783128512158,42.09755663927565
ratio_beta_alpha,0.058913813427978745,39.79804088933669
lempel_ziv,0.058038993803159133,39.207074099486505
wavelet_complexity,0.055106769777185205,37.22626917629025
hjorth_complexity,0.04933983705712741,33.330533849642464
ptp,0.03293415072956618,22.24800265209757
dyn_conn_variance,0.030743719632885025,20.768301012047377
psd_gamma_low,0.027058373116656043,18.278739348829685
energy_ratio,0.02149480882147392,14.520385468363381
spectral_edge,0.007697408305323616,5.199829253145993
hjorth_mobility,0.007188412093202423,4.855987106731881
variance,0.0,0.0
median,0.0,0.0
skewness,0.0,0.0
std,0.0,0.0
energy,0.0,0.0
psd_delta,0.0,0.0
higuchi_fd,0.0,0.0
perm_entropy,0.0,0.0
sample_entropy,0.0,0.0
ratio_theta_alpha,0.0,0.0
total_power,0.0,0.0
rel_alpha,0.0,0.0
psd_theta,0.0,0.0
psd_beta,0.0,0.0
kurtosis,0.0,0.0
phase_locking_value,0.0,0.0
hjorth_activity,0.0,0.0
spectral_entropy,0.0,0.0
alpha_peak_freq,0.0,0.0
signal_coherence,0.0,0.0
dfa,0.0,0.0
microstate_var,0.0,0.0
