Timestamp,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
17260.9006549,3.907985046680551e-13,-2.5579538487363607e-13,1.9326762412674725e-12,-2.6147972675971687e-12,8.526512829121202e-14,-3.296918293926865e-12,-2.3874235921539366e-12,1.0302869668521453e-12
17260.904651956153,-121.2277119401834,-382.0257844483107,-11.338624792015366,-150.21235975118307,-151.92894617464816,12.56187264579944,-181.1527925455665,42.06384989244463
17260.908649012308,-210.6598160804047,-659.8181581073443,-21.072139126032596,-260.0785064527066,-263.0295853162962,21.655674213734585,-314.14647196468445,72.02796819083223
17260.91264606846,-249.81252941232444,-774.3704930838537,-27.869805131722273,-306.3956963336479,-309.9919218810096,25.566413129450325,-371.38912870732884,83.5224374868998
17260.916643124616,-240.3011688988077,-734.3484283043565,-30.917989680151692,-291.74079050576245,-295.75888860253576,25.0949028367084,-356.1643916343038,78.56868463733261
17260.920640180768,-200.99435982899678,-605.1294316780641,-30.100501645420394,-240.60058632562092,-245.3851766962711,22.894625540958202,-297.8428262857391,65.78808150305505
17260.924637236923,-157.4976179239603,-471.79032338763295,-26.059083691783883,-185.636582127519,-191.83102664769297,21.794696737287268,-235.2482561200591,55.3208197516572
17260.928634293075,-129.77648215990257,-396.8977831239511,-20.07816335765878,-151.74797359121246,-159.69874210471374,23.143974779196753,-197.4979157839893,53.420440537800935
17260.932631349227,-124.37418600379283,-395.5656895094281,-13.810586130067549,-146.32245003345156,-155.5551637877674,26.14777451469331,-192.45904316322247,59.743697005702536
17260.936628405383,-134.5975344848573,-438.82826400123525,-8.865587312968728,-159.92734993895496,-169.07887254862496,28.55773555101058,-207.922711261985,68.64593566190328
17260.940625461535,-147.2916460285138,-479.40056110224015,-6.347942821823835,-175.4438439473659,-182.76495036298127,28.221323989917266,-222.95694857234167,73.3263786762144
17260.94462251769,-151.44194581321625,-482.212755052857,-6.505490589030302,-179.2930688310816,-183.47126792676045,24.484076751007592,-221.65397731879096,70.1178240782904
17260.948619573843,-143.63517763869862,-441.96397906632996,-8.6408101620695,-168.22396780674973,-169.0452094230269,18.602738013240582,-201.28215462904438,60.383440994783626
17260.95261663,-128.09774869432613,-380.26863575604676,-11.397671693571738,-148.80484401585613,-147.26492982878858,12.965697338360599,-171.3797572233662,49.16682909327642
17260.95661368615,-112.49183343724667,-327.80671926348384,-13.361869255502029,-131.40697102484646,-129.20182760853535,9.655878076870465,-146.02006792744243,41.758732406794
17260.960610742302,-102.69780574481129,-304.3560368676257,-13.705997610707982,-123.1516149012055,-121.84132706607106,9.274503214291144,-134.80962787027315,40.44825999608807
17260.964607798458,-99.76592489823994,-308.69601642691407,-12.555363468718667,-124.1093270946906,-124.43402510881796,10.716400778376055,-137.9712561843547,43.39780821797848
17260.96860485461,-100.34028077365504,-322.702744523507,-10.835855816946776,-128.39309156845698,-130.10060303419422,11.999849980724036,-147.6190366123624,46.13738805702886
17260.972601910766,-99.65322123168845,-325.1432755320519,-9.679122087243172,-128.72602266552533,-130.95924652914502,11.590507849828725,-153.5560298162685,44.57806441599375
17260.976598966918,-94.84034233203772,-305.46759637726143,-9.731249546144625,-121.22653000940619,-123.18822093624514,9.35544544785779,-149.55692129723846,37.57917703085607
17260.98059602307,-86.41293221931849,-268.91552964988233,-10.771814649452722,-107.36735968041745,-108.84277485327789,6.558289973584692,-136.25932140360914,27.481642461241535
17260.984593079225,-77.2431879381351,-230.82135959700412,-11.900236747911208,-92.28560391577298,-93.73355560819581,4.900851471658939,-119.48223772072163,18.386726754148597
17260.988590135377,-70.17383395800127,-205.20909805431475,-12.201090715156909,-81.06395626254354,-83.27915390587714,5.249055257425766,-105.78456086781495,13.386550831353091
17260.992587191533,-66.171906760281,-196.05230575794099,-11.497590293722055,-75.761219332792,-79.37762917718541,6.889237997153543,-98.6075140303798,12.58365531108123
17260.996584247685,-64.26322135719428,-196.66305396097943,-10.724159469077165,-75.03630526613887,-80.20522589034181,7.810859420801421,-97.34219390100776,13.110370113143645
17261.00058130384,-62.87410749206423,-196.15448326989898,-11.567084277919378,-75.99410590279416,-82.40539324401868,5.867812235057954,-99.07316392243536,11.04338286145665
17261.004578359993,-61.22958007710301,-187.3559890171006,-15.47716176443845,-76.44166087325235,-83.6100175232847,0.11701837790064928,-101.0443338406294,3.9329557684014134
17261.008575416145,-59.67472522546283,-170.58000165583735,-22.579927776691875,-75.85858323355461,-83.42358807146371,-8.46348192732205,-101.9032694636092,-7.608334879686424
17261.0125724723,-58.86633442508554,-151.63644852634138,-31.166136606007342,-74.76143502111077,-82.58745933857864,-17.2923460018622,-101.30367060202491,-20.117408772399514
17261.016569528452,-58.69184639049992,-136.6077106906602,-38.16500279822742,-73.39524246571366,-81.42525630262236,-23.357500902730123,-98.80928553956124,-29.05707108524186
17261.020566584608,-57.81039717037534,-127.32197393807016,-40.44500377838705,-70.89974932950008,-78.91256335868576,-24.60947134896213,-93.26404909004265,-31.09966042147856
17261.02456364076,-54.17535310265723,-120.33627788495045,-36.28968316360363,-65.5715806914948,-73.06322990360238,-20.842066556595512,-83.19212692167639,-25.671376009979312
17261.028560696916,-46.20583271758282,-109.622568475766,-26.266404027488022,-55.96436211736179,-62.283073492869846,-13.633324664726729,-67.87623494378175,-15.01391047728616
17261.032557753068,-33.88697637606663,-90.9753254952056,-13.014529518537358,-42.079870009017185,-46.74125770843047,-5.4525414261443075,-48.3504922880017,-2.8624488322977157
17261.03655480922,-19.121859700989233,-65.20053209183493,-0.06627893337787327,-25.831690272688377,-28.797736443308793,1.5394268026731197,-27.529357603059168,7.441242190504681
17261.040551865375,-5.007948130775603,-37.85981533705899,9.668068964444103,-10.343804000640802,-12.050887617149499,6.320240632959894,-9.141451680032219,14.299273516257713
