label_combination,best_model,n_samples,samples_imagery,samples_instruction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_imagery,recall_imagery,f1_imagery,precision_instruction,recall_instruction,f1_instruction,samples_baseline,precision_baseline,recall_baseline,f1_baseline
instruction_imagery,SVM,928,464.0,464.0,0.884698275862069,0.8883509712994266,0.884698275862069,0.8844265147661842,0.8883509712994266,0.884698275862069,0.8844265147661842,0.8506876227897839,0.9331896551724138,0.8900308324768756,0.9260143198090692,0.8362068965517241,0.8788221970554927,,,,
instruction_baseline,SVM,928,,464.0,0.6228448275862069,0.6228813559322034,0.6228448275862069,0.6228167967298401,0.6228813559322033,0.6228448275862069,0.6228167967298401,,,,0.625,0.6142241379310345,0.6195652173913043,464.0,0.6207627118644068,0.6314655172413793,0.6260683760683761
imagery_baseline,SVM,928,464.0,,0.9267241379310345,0.9278688524590164,0.9267241379310345,0.9266750948166877,0.9278688524590163,0.9267241379310345,0.9266750948166877,0.9057377049180327,0.9525862068965517,0.9285714285714286,,,,464.0,0.95,0.9008620689655172,0.9247787610619469
