feature,mutual_info,importance
psd_gamma_low,0.5509325575187807,100.0
perm_entropy,0.33406780539634173,60.63678772241622
psd_gamma_high,0.3321280522423504,60.28470231241118
alpha_peak_freq,0.2687402532477141,48.779156283308424
ratio_theta_alpha,0.24017169992029874,43.59366616522959
spectral_entropy,0.22739976604308643,41.275427080806466
rel_alpha,0.21219333022820663,38.51530052677513
mean,0.20557374054768163,37.31377602251685
ratio_beta_alpha,0.19881156060925553,36.08636990063494
ind_alpha_power,0.18599514834324538,33.76005752517267
psd_beta,0.16665485126252744,30.249592075858825
dyn_conn_variance,0.14803443784422132,26.869793012582125
microstate_var,0.13592038385658434,24.67096598333653
energy_ratio,0.12228696002237793,22.19635749484805
median,0.09807998265846285,17.80253886250304
lempel_ziv,0.09152466640711054,16.612680655379595
hjorth_mobility,0.08394656074676687,15.237175512885754
skewness,0.08025315901168639,14.566784612098488
energy,0.06578358030235432,11.940405300899616
sample_entropy,0.06270828520820393,11.382207196216802
spectral_edge,0.05711616563012267,10.367179221964141
std,0.055662827996878494,10.103383297506612
variance,0.05011507458714526,9.096408245112087
hjorth_activity,0.05011507458714526,9.096408245112087
phase_locking_value,0.048132349988112555,8.736523070062306
dfa,0.037992484035273666,6.896031740505469
wavelet_complexity,0.035891944902697315,6.514761999970169
hjorth_complexity,0.026530615425936155,4.815583153303071
ptp,0.019478980792471567,3.535637988104842
higuchi_fd,0.00440611258980228,0.7997553474868075
signal_coherence,0.003040655646163515,0.5519106839242954
total_power,0.0,0.0
psd_delta,0.0,0.0
kurtosis,0.0,0.0
psd_alpha,0.0,0.0
psd_theta,0.0,0.0
zcr,0.0,0.0
