feature,anova_score,mi_score,rf_score,ensemble_score,importance
higuchi_fd,1.0,0.8832223783704011,0.765666970757318,0.8712335018140476,100.0
psd_beta,0.3648348054126007,0.9076550353458586,1.0,0.7817469522275378,89.72875246415748
psd_gamma_low,0.5242951011854167,0.9894649945085208,0.7852671857893924,0.7682349030239382,88.17784226896121
spectral_entropy,0.7845250589571444,0.7605345089097943,0.5019509602681724,0.6642982544673506,76.24801538097138
perm_entropy,0.7121846010035126,0.8285247191087974,0.49143854856304253,0.6587882154589101,75.61557425044005
ratio_beta_alpha,0.5718017450144169,1.0,0.4153630917962346,0.637685760222819,73.19343883069868
microstate_var,0.5525250166244231,0.868874791565135,0.5214398673800751,0.6349958894088975,72.88469601854548
ratio_theta_alpha,0.43784602325527516,0.9693341655971263,0.44771900209225957,0.6012416574926243,69.0103923047889
spectral_edge,0.7918771045432738,0.6318616513143922,0.4190280455557472,0.5947328449795987,68.26331215928562
rel_alpha,0.3625198230160472,0.8354167835887157,0.5469852015549054,0.578175062603391,66.36281334447516
energy_ratio,0.18821869857484266,0.7511556540872775,0.4567500112751929,0.4645123103087132,53.31662629381495
phase_locking_value,0.3567411948253435,0.5323692304026765,0.4828670812439211,0.4598799600659744,52.78492609712904
mean,0.12345232358602493,0.9301081784282538,0.30189499210734067,0.43682614744721987,50.138814283160364
psd_alpha,0.3027719762448415,0.6954278789100934,0.31295738832243897,0.424642911875456,48.74042504004741
ind_alpha_power,0.2802544104106798,0.5679295214110327,0.3456302056767421,0.3927072618172106,45.07485777343631
alpha_peak_freq,0.08946254172939479,0.8164231109587443,0.23585434093205254,0.3661074321792627,42.02173486407128
skewness,0.1349777547773295,0.5882152430181172,0.25563164473399835,0.31921055723223335,36.638921318749325
median,0.23612339312035222,0.21371229673486794,0.45887800503779,0.31850190897168207,36.55758281890103
hjorth_mobility,0.12358695833915533,0.5625391653257452,0.25885711542533363,0.3093806832696036,35.51065043130499
signal_coherence,0.15644344344079694,0.4660583493374952,0.2558146620359479,0.2890764026478668,33.18012932766744
lempel_ziv,0.25597435426477705,0.4797868378959421,0.16985671233668942,0.2886710425828915,33.133602183781065
hjorth_complexity,0.11952998963175027,0.5252928137697124,0.22413083503612963,0.2830991750348906,32.49406438634796
kurtosis,0.16035973815248605,0.3530089796085907,0.29820502570115476,0.2732926256087849,31.36847068435109
psd_gamma_high,0.2542137500897155,0.22685660701933297,0.28390410145764244,0.25788274771577147,29.599728107197247
sample_entropy,0.10297722367557918,0.44226180722141634,0.20182398981538377,0.24430130519525217,28.040852961528426
std,0.14824038841032525,0.4002238571834187,0.18795575431737596,0.23972157540507355,27.515192529434973
variance,0.15277097713321003,0.3694741646036162,0.19789171103109415,0.23583022693348554,27.068544361809924
energy,0.15220609979261046,0.36936814586217387,0.17419709372270606,0.22615111118551773,25.957577470865726
zcr,0.2614904474760005,0.16745067232797572,0.21590774359018247,0.21504543337726584,24.68287008356621
hjorth_activity,0.15277097713321003,0.3694741646036162,0.1369395488383077,0.21144936205637094,24.27011376583884
dfa,0.08028418667366335,0.3124322147629756,0.22908932897865306,0.2094506520224529,24.04070224415649
total_power,0.2080123233423568,0.0,0.3468395169149855,0.20113950376870124,23.086750377470175
wavelet_complexity,0.11467174718640143,0.18151542535559423,0.2774750015812243,0.1998461523950884,22.938299776004566
psd_delta,0.21135046805642624,0.0,0.3269963928000419,0.1942036975369446,22.290659981805273
ptp,0.15221955382788332,0.07293889411691182,0.23631542906850883,0.1620737060108421,18.602786241963685
dyn_conn_variance,0.07927868929295298,0.0,0.2426725688105922,0.12085263431212279,13.871440212123188
psd_theta,0.07256344128230652,0.0,0.2175305321867016,0.10878124525937259,12.48588868918294
