feature,rf_importance,importance
psd_gamma_low,0.13128656462720975,100.0
wavelet_complexity,0.09297348852944645,70.81721484102059
perm_entropy,0.06557259634203273,49.946159021090345
spectral_entropy,0.04545845743003322,34.62536898510005
energy_ratio,0.04473220530158569,34.07218813943642
mean,0.04238658179225939,32.285544154968754
higuchi_fd,0.03451646830351135,26.290937234530737
lempel_ziv,0.03016610998435463,22.977301653076054
psd_beta,0.02973891858245243,22.651913138938895
phase_locking_value,0.02723849070040434,20.747355814929318
ratio_beta_alpha,0.025100973718017425,19.119225024504246
psd_gamma_high,0.0248792747654521,18.95035858093872
signal_coherence,0.022928176770142597,17.46422174671682
psd_theta,0.022199060084451664,16.90885898910238
ind_alpha_power,0.02188352222514443,16.668516148078847
microstate_var,0.019532933063773312,14.878089863374353
dyn_conn_variance,0.018128937197936075,13.80867665279648
alpha_peak_freq,0.018059943942393533,13.756125003099156
hjorth_mobility,0.017572144251519685,13.384571605949217
psd_delta,0.017506344640568907,13.334452531588777
ratio_theta_alpha,0.01750133093519127,13.330633629485677
psd_alpha,0.01740789008240621,13.259460426766582
skewness,0.017141099555098398,13.056248066030838
kurtosis,0.016980895997708585,12.934222207676852
dfa,0.016942411693010927,12.904908998966627
spectral_edge,0.016703299679456732,12.722779156333331
median,0.01662884319856401,12.666066208512554
zcr,0.015860616207052414,12.080913421787585
variance,0.015545449263562824,11.840853104584134
total_power,0.014464285321836835,11.017338569950702
std,0.014422446485573172,10.985470239491706
rel_alpha,0.014111697569476988,10.748775100900366
energy,0.012565193350199327,9.570814337231223
hjorth_complexity,0.012246228412387858,9.327861115995544
ptp,0.011701500268963548,8.912945739870748
sample_entropy,0.00976399063360068,7.437159058374088
hjorth_activity,0.00815162909322037,6.209035262950971
