feature,mutual_info,importance
psd_gamma_low,0.47156205642477045,100.0
wavelet_complexity,0.3904307406597729,82.7951984983464
mean,0.3097825189105379,65.69284247744778
alpha_peak_freq,0.2867270666157702,60.803676358026166
perm_entropy,0.27274521817421515,57.83866926064415
higuchi_fd,0.2595903849802026,55.04903998178567
dfa,0.24161693895582026,51.23757004278101
spectral_edge,0.22299211047657197,47.287967180231874
energy_ratio,0.19255611156550145,40.833673732233464
microstate_var,0.17965068819778107,38.09693459220064
spectral_entropy,0.17852216827915868,37.8576193412709
psd_alpha,0.13550684381838574,28.73573943708584
lempel_ziv,0.115628627130687,24.520341608344296
signal_coherence,0.105808920483077,22.437963157020242
phase_locking_value,0.10102062286786806,21.42255117677903
energy,0.09494991903452332,20.135190637347417
ratio_theta_alpha,0.09350425569760823,19.82862158302705
std,0.09196388566541147,19.50196891638221
hjorth_activity,0.09053885170404907,19.1997745515161
variance,0.09053885170404907,19.1997745515161
sample_entropy,0.0887670881387832,18.824052302211566
ind_alpha_power,0.08847104415879503,18.761272870330917
psd_gamma_high,0.08749020367452687,18.553274692592748
zcr,0.08713502640394832,18.47795538610075
ratio_beta_alpha,0.0707568182668088,15.00477345511297
kurtosis,0.044682933936506686,9.475515115715226
psd_beta,0.044235215595094246,9.380571441746438
median,0.04096172354069649,8.686390896514217
rel_alpha,0.03673128452240482,7.789279061358207
skewness,0.03491499385759145,7.404114343360348
hjorth_mobility,0.030620335310888258,6.49338404006498
psd_theta,0.0,0.0
psd_delta,0.0,0.0
total_power,0.0,0.0
ptp,0.0,0.0
hjorth_complexity,0.0,0.0
dyn_conn_variance,0.0,0.0
