label_combination,best_model,n_samples,samples_m_et_s,samples_n_3_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s
m_et_s_n_3_s,RandomForest,44,22.0,22.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.5909090909090909,,,,
m_et_s_p_af_s,SVM,44,22.0,,0.7272727272727273,0.7291666666666667,0.7272727272727273,0.7267080745341614,0.7291666666666667,0.7272727272727273,0.7267080745341615,0.75,0.6818181818181818,0.7142857142857143,,,,22.0,0.7083333333333334,0.7727272727272727,0.7391304347826086
n_3_s_p_af_s,SVM,44,,22.0,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6818181818181818,,,,0.6818181818181818,0.6818181818181818,0.6818181818181818,22.0,0.6818181818181818,0.6818181818181818,0.6818181818181818
