feature,f_score,p_value,selected
perm_entropy,8.264438200388282,0.007638333416408875,True
lempel_ziv,7.641975786175684,0.00997248061694779,True
higuchi_fd,7.546410647257936,0.01039507721001816,True
skewness,6.916232534050918,0.013721844215672135,True
psd_gamma_low,4.787677113664849,0.03717054634387744,True
microstate_var,4.706428205390076,0.038692751588646455,False
zcr,4.4987228739848995,0.042908622924932506,False
mean,3.5636804241223032,0.06946094541403365,False
ratio_beta_alpha,3.0588100722946705,0.09125675055133473,False
energy_ratio,2.2456644402037926,0.14518000069876588,False
rel_alpha,1.7763926068933475,0.19333756940639246,False
dfa,1.575396872735928,0.2197999019652732,False
psd_gamma_high,1.5347665819165401,0.22568370363172424,False
phase_locking_value,1.5164050201280068,0.22840730117180405,False
spectral_edge,1.4545454545454541,0.2378924756311965,False
median,1.4221100991345832,0.24306487821278952,False
ratio_theta_alpha,1.339249159984049,0.25694384472155546,False
psd_alpha,0.9546842527506914,0.336896690350451,False
ind_alpha_power,0.8646708843540664,0.36038296913560774,False
spectral_entropy,0.8562930830828034,0.3626853880377584,False
hjorth_mobility,0.7397768404992974,0.39703726768827297,False
total_power,0.5010758654409673,0.4848789313332612,False
alpha_peak_freq,0.4533678756476686,0.5062600950303868,False
sample_entropy,0.3664293869465251,0.5498323602426186,False
psd_beta,0.2592181705484815,0.614646864061114,False
std,0.24002977405919992,0.6280015087479149,False
hjorth_complexity,0.1900700630296167,0.6662012416818213,False
variance,0.1394919826742115,0.7115995475741104,False
hjorth_activity,0.1394919826742115,0.7115995475741104,False
energy,0.11038312704701127,0.742182820591293,False
dyn_conn_variance,0.10148544558074078,0.7524184630434658,False
ptp,0.10049606581943964,0.7535868445069334,False
psd_delta,0.07252306569292132,0.7896726359058373,False
psd_theta,0.047453601289400356,0.8291347311150944,False
wavelet_complexity,0.010660858787807908,0.9184993988906511,False
kurtosis,0.0033887298737878386,0.9539925932099033,False
signal_coherence,0.001038318603562342,0.9745228561498747,False
