Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
26838.809800900002,27671.53,16035.7,13539.94,15161.13,16626.55,39735.61,25811.77,52097.61
26838.813800900003,27696.23,16099.41,13541.13,15149.45,16681.15,39715.82,25799.18,52069.86
26838.817800900004,27715.11,16164.02,13499.02,15126.18,16714.05,39713.91,25785.88,52061.42
26838.8218009,27695.09,16136.12,13467.5,15119.27,16677.86,39728.55,25786.12,52083.78
26838.825800900002,27665.9,16062.17,13486.2,15139.72,16628.12,39742.67,25803.76,52114.64
26838.829800900003,27655.32,16025.16,13527.11,15155.51,16623.36,39735.61,25820.4,52108.29
26838.833800900004,27683.93,16091.54,13535.88,15145.69,16687.06,39717.49,25814.3,52079.4
26838.8378009,27708.53,16156.39,13500.26,15129.52,16724.25,39718.58,25800.52,52074.49
26838.8418009,27697.85,16135.5,13479.47,15129.76,16695.45,39733.46,25800.76,52093.23
26838.845800900002,27665.19,16060.78,13499.93,15141.97,16646.58,39739.8,25817.87,52115.16
26838.849800900003,27659.23,16031.46,13546.37,15161.09,16650.3,39730.36,25825.98,52105.81
26838.853800900004,27697.76,16105.13,13560.87,15161.95,16721.06,39716.73,25818.83,52077.78
26838.8578009,27725.18,16172.55,13522.72,15147.16,16754.68,39714.1,25806.48,52064.9
26838.861800900002,27719.74,16152.86,13498.69,15153.79,16725.26,39732.03,25800.8,52087.5
26838.865800900003,27695.9,16080.91,13518.14,15177.16,16674.23,39747.67,25804.86,52111.06
26838.869800900004,27697.47,16053.44,13561.2,15201.09,16667.56,39741.81,25813.34,52108.1
26838.8737009,27735.28,16123.34,13565.49,15196.75,16721.68,39723.07,25802.85,52080.54
26838.8777009,27761.84,16188.43,13524.68,15180.4,16750.58,39722.59,25786.31,52074.63
26838.8817009,27747.16,16163.3,13493.73,15175.44,16711.9,39739.95,25779.68,52093.32
26838.8857009,27711.39,16082.67,13504.08,15185.02,16652.82,39746.72,25787.79,52109.06
26838.8897009,27701.52,16050.39,13546.37,15200.28,16645.48,39740.71,25801.23,52110.34
26838.8937009,27731.09,16118.34,13555.0,15190.27,16702.13,39724.55,25792.22,52086.36
26838.8977009,27750.78,16178.28,13514.04,15163.14,16727.59,39721.45,25774.2,52077.68
26838.901700899998,27721.36,16145.47,13477.61,15144.78,16686.97,39732.89,25773.19,52100.81
26838.9057009,27682.31,16069.13,13492.68,15156.13,16636.9,39743.38,25794.89,52130.85
26838.9097009,27672.06,16034.22,13532.59,15170.62,16632.37,39734.8,25814.82,52129.7
26838.9137009,27699.47,16097.26,13537.84,15159.27,16688.97,39714.53,25809.0,52108.68
26838.9177009,27712.3,16153.62,13493.92,15128.38,16712.57,39708.05,25787.55,52097.99
26838.9217009,27693.23,16126.25,13464.93,15119.32,16675.38,39730.12,25793.84,52117.88
26838.9257009,27660.61,16052.72,13483.76,15133.53,16627.03,39743.43,25814.82,52142.24
26838.9297009,27649.79,16017.77,13525.77,15145.83,16625.45,39735.18,25828.03,52134.95
26838.9337009,27678.64,16081.91,13534.02,15133.86,16687.44,39718.73,25814.92,52102.72
26838.9377009,27701.33,16149.81,13501.69,15114.5,16732.07,39722.35,25800.28,52094.61
26838.941700900003,27688.41,16130.5,13484.15,15114.02,16707.66,39736.18,25805.05,52104.57
26838.945700900003,27664.71,16065.6,13515.52,15140.25,16669.7,39744.57,25817.35,52119.5
26838.9497009,27664.14,16038.56,13564.02,15168.57,16670.66,39735.04,25823.79,52110.11
26838.9537009,27706.24,16110.76,13573.31,15171.82,16728.45,39717.63,25804.81,52074.72
26838.957700900002,27736.0,16178.18,13533.36,15158.23,16759.21,39721.06,25792.08,52065.52
26838.961700900003,27725.27,16153.86,13502.07,15159.18,16718.29,39737.42,25784.78,52084.02
26838.9657009,27703.57,16082.96,13515.66,15182.16,16661.69,39749.91,25792.89,52106.1
26838.9697009,27697.33,16053.15,13554.72,15200.9,16651.97,39739.76,25797.99,52102.0
26838.973700900002,27731.37,16118.67,13557.1,15197.61,16706.23,39717.87,25786.5,52076.3
26838.977700900003,27755.41,16183.28,13517.48,15178.83,16739.04,39721.92,25772.38,52073.39
26838.981700900003,27733.42,16153.96,13484.1,15166.38,16698.79,39738.9,25768.33,52092.37
26838.9857009,27701.67,16077.66,13496.02,15178.97,16638.66,39753.39,25783.88,52115.26
26838.9897009,27693.56,16043.47,13535.31,15191.22,16625.79,39746.96,25796.56,52112.78
26838.993700900002,27721.22,16108.47,13539.13,15179.59,16680.62,39729.79,25788.6,52094.28
26838.997700900003,27741.67,16168.64,13497.78,15154.13,16710.47,39731.65,25776.01,52090.41
26839.0016009,27715.78,16138.56,13463.31,15139.3,16667.51,39742.57,25778.2,52106.2
26839.0056009,27674.34,16058.83,13473.18,15146.3,16610.82,39748.58,25786.21,52120.88
26839.0096009,27668.91,16031.46,13520.15,15165.0,16608.86,39743.95,25800.47,52120.21
26839.013600899998,27701.19,16100.22,13532.31,15157.84,16670.47,39724.16,25797.8,52098.09
26839.0176009,27727.08,16171.17,13499.98,15142.35,16711.48,39725.88,25788.88,52098.19
26839.0216009,27710.92,16149.19,13475.23,15137.72,16685.2,39741.76,25793.94,52119.88
26839.0256009,27679.78,16073.71,13494.4,15152.89,16638.66,39749.1,25809.34,52141.62
26839.029600899998,27673.06,16041.66,13542.42,15168.48,16636.66,39739.52,25822.36,52131.37
26839.0336009,27706.2,16110.8,13555.96,15164.38,16701.65,39720.59,25815.68,52103.72
26839.0376009,27727.75,16176.61,13522.2,15143.73,16740.28,39718.78,25799.28,52096.04
26839.0416009,27708.53,16152.57,13500.88,15141.3,16711.76,39736.08,25802.76,52118.21
26839.0456009,27679.02,16080.38,13522.34,15160.51,16663.22,39749.53,25815.49,52137.09
26839.049600899998,27671.34,16047.81,13562.16,15179.21,16658.02,39741.14,25830.18,52129.37
26839.0536009,27701.29,16109.42,13565.45,15172.77,16718.1,39721.11,25818.54,52099.33
26839.0576009,27721.31,16168.88,13523.06,15152.55,16745.76,39716.34,25795.03,52086.79
26839.0616009,27709.87,16146.38,13493.25,15151.74,16704.94,39737.71,25789.5,52101.43
26839.0656009,27688.74,16076.76,13510.56,15171.82,16651.97,39749.63,25803.52,52119.93
26839.069600900002,27677.44,16039.23,13548.8,15186.93,16639.38,39735.8,25814.63,52115.3
26839.073600900003,27712.25,16108.04,13557.1,15182.45,16699.32,39721.64,25804.19,52086.65
26839.0776009,27736.81,16174.13,13515.66,15162.47,16732.07,39718.82,25774.86,52074.82
26839.0816009,27721.27,16149.48,13483.96,15156.56,16696.84,39735.08,25776.48,52094.61
26839.0856009,27692.37,16076.19,13499.12,15172.58,16641.57,39746.34,25789.93,52119.69
26839.089600900003,27687.22,16046.86,13542.37,15192.13,16633.89,39741.62,25804.33,52122.31
