Channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var
O1,-0.536088148043441,0.06717516880152624,76.29598468210334,8.734757276656481,-0.4906428427860577,0.9020452248700925,0.11439220183486239,76.58337518457598,69.3075321043273,4.0070864012965925,1.5744033976515464,2.39985043678423,1.3094977139631443,51.48923339296949,0.046608781654766555,0.6560422989364402,0.5456580518067013,29.296875,2.16731015576508,0.7427105258737544,1.506649107591247,76.29598468210334,0.3578156939590376,1.6801273311402245,4.78383937406314,159,0.3051915400709318,10.7421875,2.8384714782868476,8.023347320747803,0.37014101936779403,0.007652838558646974,0.256688552221915,4.012310859882787e-06,0.7920474825832603,1.188066865970732,0.2850612727005732
Oz,0.260267267619362,0.5957220872307722,75.23990395045416,8.674093840307133,-0.5096858915231464,1.469206501576103,0.11869266055045871,75.3076430010482,70.95338394170656,4.352599498095576,1.7926242363577398,2.786702809541978,1.3983652290182205,56.545680800213574,0.04928232837779278,0.643277865949536,0.5017991958920283,29.296875,2.1603408639397514,0.7375375102537629,1.4823161943717664,75.23990395045416,0.359858797507887,1.6372336492289428,4.808935593677375,165,0.29904485747803655,10.25390625,3.316691636506588,8.011679362766968,0.384928903345922,0.007443825717985612,0.22710495902024092,9.907575696735355e-06,0.8002480544547075,1.0573500912411804,0.2855864375292498
O2,-2.835053818992764,-0.16684247695422982,226.87703135891482,15.062437762822949,-2.2471963415969562,7.705261213449823,0.09948394495412843,234.91456151550028,141.69130196263586,5.233943190879577,2.220412106581599,3.272385198404139,1.4832036199913836,64.37068395242659,0.05083657648911434,0.6785301766015929,0.4532484808679324,28.3203125,2.7122040793202093,0.7385838367060663,1.4678019394276987,226.87703135891482,0.24081312615482353,2.3799502196578466,4.23268442689554,144,0.3365350489857936,10.25390625,4.457105035614104,7.826889306547227,0.4036504083448321,0.01172624942378535,0.26203770224102635,2.3039624624142713e-05,0.989892852985835,1.0793794984762783,0.29421033039417094
PO3,-1.8783017361551753,-0.37715154128248685,151.3301825825468,12.30163332986912,-1.313597866427652,4.092422600843573,0.09202981651376146,154.85819999459036,116.00103928318504,6.516424977040248,2.262110285979399,3.5722456566124516,1.3200966103935894,66.64843768857276,0.053598340493807746,0.6332460036145864,0.3695425055524968,27.34375,2.50973204461682,0.7387029270790085,1.4332454665782766,151.3301825825468,0.2600494412511687,2.187904699874381,4.462082947860523,149,0.26428347350654585,10.25390625,4.060926308939702,7.914598670497408,0.36476563969548087,0.005760973560332554,0.20117076897839817,1.0028134886775592e-05,0.9327721896054084,1.2495762595226596,0.2695582349186477
PO4,-1.1652938912831095,-0.3041083343086637,130.16761125800247,11.409102123217343,-0.7969536552450522,1.8276589121086122,0.09288990825688073,131.5255211110642,91.87306792370912,7.958474190296894,2.6848003513867122,3.423527365034595,1.5820080221103576,76.78487783456235,0.04458595834990831,0.7842205027502627,0.4620988394215366,27.34375,2.4344114686932303,0.7310180500981893,1.4261315663476992,130.16761125800247,0.29169067554642164,1.916229794230792,4.543108487528078,147,0.29884530328836323,10.25390625,5.085508615604736,7.957496173367658,0.4037428824728092,0.00983186452396594,0.20572158065925483,2.802214289449708e-05,0.8856938595169198,1.1383600895167876,0.3048588143103932
TP7,-0.32015263836373464,0.19844176221846505,55.74846623238327,7.4664895521512165,-0.8303358814234199,2.044718300414459,0.09231651376146789,55.85096394423453,65.96012259612176,3.391122116794716,1.745084978679404,2.3720478682045663,0.7654619602639035,40.420213022670296,0.05868469487961795,0.7356870837519318,0.32270089087337495,28.3203125,2.010424949230904,0.7392690470951804,1.4362560871267942,55.74846623238327,0.3140165394102554,1.8278440710868742,4.600248741989674,143,0.25765177816600254,9.765625,3.1541678954360868,7.969940738792367,0.376005474935396,0.00830363757851781,0.1421613057761024,3.4699558134979774e-06,0.8255437468840863,1.294132892545523,0.3051078392946069
TP8,-1.6867407334889983,-0.07951093760060951,170.30673676200473,13.050162327036578,-1.2507065061639524,3.16655216132707,0.08543577981651376,173.15183106401574,114.25221860364354,7.966715856411565,3.8683675128413446,4.043134249710086,1.8562501690912936,88.9586576630837,0.045449586987056305,0.9567744412935898,0.459111682780357,27.34375,2.568800572552381,0.7304911556102907,1.4266671322908735,170.30673676200473,0.2819670444544782,1.9580077483371607,4.583090575854026,133,0.2640382898716526,8.7890625,4.998449930966929,7.871391147443906,0.4169358593296852,0.020353222488164877,0.21844580606918582,1.7039193438463263e-05,0.9115661663932548,1.0038994548923517,0.31441997097293395
Fz,0.5535038879907682,1.7199555189311406,144.55973270938856,12.023299576629892,-0.6010456673793447,1.4553842438308777,0.08113532110091744,144.86609926340944,99.17935077174613,13.915926333992436,4.122005755352118,4.030728396055206,1.6956127478230083,104.87974506842076,0.03843190497293511,1.0226453758050886,0.42067154648337773,25.390625,2.4868463986523146,0.7332412363087624,1.3975145231223203,144.55973270938856,0.2779961615243246,1.9548245905787986,4.415614301943228,132,0.30432553492116415,11.23046875,4.404324158187192,7.968256341987484,0.4304870498248571,0.01641472032325047,0.18084577127952742,2.1003583915376943e-05,0.8746705130444158,1.2023361895080469,0.32617025619130835
