Timestamp,O1,Oz,O2,PO3,PO4,TP7,TP8,Fz
0.0,-1.4779288903810084e-12,2.2737367544323206e-13,1.4779288903810084e-12,-2.8421709430404007e-12,0.0,-2.6147972675971687e-12,-4.547473508864641e-13,3.0127011996228248e-12
0.004,-23.197576102084042,-42.284897122018435,-29.02594015586982,-17.85146705703619,-41.3405830883799,-6.664895746234606,-7.368325662510301,1.7038225154052498
0.008,-39.805101447467734,-73.64154388421878,-50.49839075033219,-31.56090459249458,-71.72624712317253,-11.87532930069915,-12.997043416484189,3.324799301887765
0.012,-46.22418663832548,-87.86426704764273,-60.20854151744385,-38.70388091612301,-85.00381353370486,-14.79339427705031,-15.881056246885464,4.797533287372289
0.016,-43.275291097995535,-85.82255546082308,-58.94452280653326,-39.43792932621375,-82.18902044050535,-15.508584331411157,-16.136586713951147,6.075956532344321
0.02,-35.35285414273483,-74.35629080892124,-51.67777428594758,-36.11624410164154,-70.30362245780162,-14.876609386329278,-14.859981840189334,7.1376278279963685
0.024,-27.86556509809583,-62.42318189859333,-44.77994171591857,-31.908052523326432,-58.431849409496124,-14.001287959179649,-13.548331496692981,7.9803335845807055
0.028,-24.465745467118836,-56.68951897681808,-42.85755627698427,-29.238171651074822,-53.263223142734745,-13.64346585115959,-13.41176951392265,8.604970647022412
0.032,-25.56277011015726,-58.87320652420118,-46.867222929706685,-28.865657586524208,-56.470095241183145,-13.869581108188413,-14.915884757678555,8.997560422216054
0.036000000000000004,-28.789326019583655,-66.01264036775655,-54.345886726959264,-29.990604129461644,-65.0494969611309,-14.119827495631853,-17.750025526133754,9.124301100052094
0.04,-30.90858299076649,-73.11104752696446,-61.36776901906191,-31.15678497512397,-74.00768475139805,-13.61635044415425,-21.16457142022705,8.961405449564438
0.044,-29.873034487341044,-76.32447010353371,-64.89700404970549,-31.281412381087875,-79.48937749967789,-11.86896437646601,-24.417586378061515,8.541867297896943
0.048,-25.872803407391757,-74.88972986098872,-64.23362813943828,-30.228242827219447,-80.56816719399663,-9.00180845351997,-27.09038512185589,7.998198950172139
0.052000000000000005,-20.900351781254358,-70.9346259510778,-60.930472315574974,-28.676831803414302,-78.95825640404175,-5.7354016827360965,-29.140665007698544,7.571927641187699
0.056,-17.34135743333644,-67.6688532577578,-57.50314871718132,-27.53665504469808,-77.24139476444972,-3.0639590625067967,-30.73292291508335,7.561131928212092
0.06,-16.589007704403627,-67.29421470872461,-55.88529332785794,-27.377128873419394,-76.98015305965359,-1.8086535742955903,-32.01459912186226,8.213539377881148
0.064,-18.440379563644456,-69.8204583195012,-56.47092062730039,-28.162936979991912,-77.83481720892789,-2.268684797703486,-32.95996041864311,9.60256331606655
0.068,-21.5025933733138,-73.3451449923163,-58.17208079726561,-29.380562567395998,-78.07467737790486,-4.118306259004953,-33.355571496083996,11.553157224425433
0.07200000000000001,-24.162949580978307,-75.40173609186047,-59.27487679267824,-30.371145526070336,-75.942552253244,-6.571179779911404,-32.91189390216891,13.673725926583586
0.076,-25.438428704869068,-74.43096396087105,-58.478427497228864,-30.61514876268842,-70.89572862536411,-8.72230721113101,-31.429534491843754,15.482055082331897
0.08,-25.22016007962071,-70.50834995529414,-55.51510672723654,-29.81879060777794,-63.95455981049437,-9.895248683668001,-28.92575442545194,16.59100067985912
0.084,-23.893573252530274,-64.98893764510291,-51.07038624302021,-27.820641709090978,-57.00419347064914,-9.860004620701375,-25.6611863834396,16.866427342945286
0.088,-21.784842341406744,-59.51206949735837,-46.24322081767042,-24.526915958829136,-51.66168180482589,-8.849207546087769,-22.088815700822636,16.491345784266713
0.092,-18.914385942098136,-55.11776664350924,-41.98494120780495,-20.00909870078175,-48.50529002970376,-7.396079215168243,-18.757295132433853,15.900422255792307
0.096,-15.227695717680149,-52.00058468724404,-38.839602186976975,-14.721249342213468,-47.09551615286523,-6.083972105261694,-16.19473474391947,15.603085283450866
0.1,-11.063889128026176,-49.899242093181414,-37.0111780987439,-9.640573482653963,-46.62208781859201,-5.311965364762955,-14.791301818689021,15.98025298508162
0.10400000000000001,-7.36994259262741,-48.618907862000384,-36.49737709533022,-6.071981700253389,-46.554007292678165,-5.156298994482938,-14.672817873467125,17.13977773880427
