label_combination,best_model,n_samples,samples_imagery,samples_instruction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_imagery,recall_imagery,f1_imagery,precision_instruction,recall_instruction,f1_instruction,samples_baseline,precision_baseline,recall_baseline,f1_baseline
instruction_imagery,SVM,928,464.0,464.0,0.9913793103448276,0.9915254237288136,0.9913793103448276,0.9913786696395392,0.9915254237288135,0.9913793103448276,0.9913786696395391,0.9830508474576272,1.0,0.9914529914529915,1.0,0.9827586206896551,0.991304347826087,,,,
instruction_baseline,RandomForest,928,,464.0,0.884698275862069,0.8933977723418909,0.884698275862069,0.8840572941175098,0.8933977723418909,0.884698275862069,0.8840572941175097,,,,0.9518987341772152,0.8103448275862069,0.8754365541327125,464.0,0.8348968105065666,0.959051724137931,0.892678034102307
imagery_baseline,SVM,928,464.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,464.0,1.0,1.0,1.0
