feature,f_score,p_value,selected
wavelet_complexity,7304.126086270811,0.0,True
lempel_ziv,4808.100644215647,0.0,True
dfa,471.969594857627,6.742726546694432e-85,True
sample_entropy,119.10792012623476,3.596182692262246e-26,True
std,106.47341211037181,1.0539596876180815e-23,True
spectral_entropy,97.79234230972249,5.456758821872775e-22,True
ind_alpha_power,69.26308320804581,3.067822781799142e-16,False
psd_alpha,66.54462188640235,1.1083295432156332e-15,False
energy,65.89009090915421,1.510970982302981e-15,True
hjorth_activity,65.1808069285049,2.1145769667759636e-15,True
variance,65.1808069285049,2.1145769667759636e-15,True
hjorth_complexity,55.75262250486417,1.8960988564860952e-13,False
total_power,51.46678034548746,1.490786005507567e-12,False
rel_alpha,46.74844602815764,1.4636810631204585e-11,False
hjorth_mobility,41.41746980585458,1.9700319837032115e-10,False
kurtosis,39.677165367655945,4.6242571629791903e-10,True
ratio_beta_alpha,34.34595961828082,6.409682007552582e-09,False
phase_locking_value,27.81076306343962,1.6658478445332067e-07,False
ratio_theta_alpha,24.90066897744652,7.208685839120604e-07,False
psd_delta,19.832867958809583,9.482726333236683e-06,False
psd_gamma_high,19.103729921146336,1.3781404257930864e-05,False
skewness,18.633312202074556,1.7548813307396384e-05,False
microstate_var,18.4032175529179,1.97535058179807e-05,False
perm_entropy,16.460103921531964,5.387236068389797e-05,False
spectral_edge,14.62820002457096,0.00013971117894357162,False
zcr,12.885644310259673,0.00034849328783393465,False
mean,11.906875589554781,0.0005845345272366928,False
psd_beta,9.027049968873323,0.0027317650488720194,False
energy_ratio,8.887169115427525,0.0029469550110709083,False
psd_theta,6.504992415942876,0.010917151942820471,False
ptp,4.893873502652201,0.027195552578658973,False
signal_coherence,3.965149313058041,0.046744844034385176,False
higuchi_fd,2.4974610966286472,0.11437149142192637,False
alpha_peak_freq,1.6448417263508912,0.19998340360880373,False
dyn_conn_variance,0.6835325297728654,0.40858593920981323,False
median,0.07986965621659439,0.7775372839231594,False
psd_gamma_low,0.012391265954598593,0.9113898405462864,False
