feature,anova_score,mi_score,rf_score,ensemble_score,importance
psd_gamma_low,1.0000000000000002,1.0,1.0,1.0,100.0
mean,0.2326179297601133,0.7303710416165119,0.7895139701175061,0.6047022794599901,60.470227945999014
perm_entropy,0.6265256096134818,0.6548729684214953,0.514239041724666,0.5901151901003595,59.011519010035954
higuchi_fd,0.7090817554640593,0.5881155621895552,0.46794908108178407,0.576338827728798,57.633882772879794
zcr,0.6562022676561438,0.6002603984166884,0.4810796437828659,0.569370657334996,56.9370657334996
lempel_ziv,0.6450257595563167,0.5027514420880065,0.4701324824158216,0.5323861534596256,53.23861534596256
skewness,0.2759499044718084,0.5956578239869177,0.5870059781801025,0.49628470980965883,49.628470980965886
spectral_entropy,0.32937001796191034,0.6088810559137239,0.4843973750895774,0.4752342721985212,47.523427219852124
psd_gamma_high,0.13008230636053117,0.39468571808519143,0.7359566239344656,0.451813056907503,45.1813056907503
hjorth_mobility,0.4338663200366702,0.538085190358589,0.3992376261626395,0.4512805035836336,45.12805035836336
energy_ratio,0.1313841028359078,0.3934779480252974,0.6755737351737765,0.42768810932787216,42.76881093278722
wavelet_complexity,0.3268911884762546,0.5340779308929134,0.42274087529289744,0.4273870859279094,42.73870859279094
spectral_edge,0.6485314874006385,0.4302266615153961,0.25620329452813756,0.4261087624860654,42.61087624860654
ratio_beta_alpha,0.40243898987287574,0.4286825637332869,0.4280683185624827,0.42056379350684187,42.05637935068419
dfa,0.2681477110908272,0.5498554943309406,0.36350025909738476,0.3908010652654842,39.08010652654842
ratio_theta_alpha,0.2455820046763802,0.3688382105271857,0.457106822104166,0.36716879340273617,36.716879340273614
microstate_var,0.2006299413683655,0.44829774633994957,0.37556555458622143,0.34490452814698314,34.490452814698315
signal_coherence,0.21485163147750605,0.32838352913652114,0.4139057931576987,0.32853286544728766,32.85328654472877
psd_beta,0.24771362137139902,0.27208842615674145,0.43035455176629583,0.3280824349649605,32.80824349649605
ptp,0.12930695695880043,0.38590857389844546,0.4092799068696293,0.3182766220050255,31.827662200502548
ind_alpha_power,0.19039705241781138,0.38644261649697786,0.35370658086018325,0.3145345330185101,31.45345330185101
median,0.08158546179232966,0.35293516850074397,0.4573270333649742,0.31328700243391183,31.328700243391182
phase_locking_value,0.14510324959464446,0.31671075348505306,0.3946222033170021,0.29639308225071015,29.639308225071016
hjorth_complexity,0.21238242415405068,0.3629515026545628,0.3061774656588537,0.2950711643061255,29.50711643061255
rel_alpha,0.22575092763098262,0.2405544459773364,0.3806802975571528,0.29216373110535687,29.216373110535688
dyn_conn_variance,0.09203698390343762,0.21221514674445596,0.4855570535657588,0.28549846062067163,28.549846062067164
std,0.11701100377455446,0.38416283838680626,0.2887915264118203,0.26586876321313635,26.586876321313635
energy,0.10330275629311148,0.3315036993160292,0.336078604970114,0.2648733786707878,26.487337867078782
kurtosis,0.15466383108718368,0.2859044572786008,0.32065039623902564,0.26043064500534563,26.043064500534562
hjorth_activity,0.10066535724401561,0.3855821342288433,0.28011499392980604,0.2579202450137801,25.79202450137801
sample_entropy,0.1229313827559071,0.38024726631848743,0.2654766751831763,0.2571442647955889,25.714426479558888
variance,0.10066535724401561,0.3855821342288433,0.2763614675624144,0.25641883446682345,25.641883446682346
psd_delta,0.016752723707744163,0.3161223533697206,0.35764493276683196,0.24292049622997222,24.292049622997222
alpha_peak_freq,0.07547384129298164,0.27261213622101466,0.2968740548561558,0.22317541519666123,22.317541519666122
psd_theta,0.05714339349542465,0.196105487506836,0.3440038611729683,0.21357620876986552,21.35762087698655
psd_alpha,0.08621843761823095,0.22328653960386624,0.2668882964593997,0.19960681175038902,19.960681175038903
total_power,0.03666668422074761,0.12075908363081643,0.2852467862765389,0.16132644486608477,16.132644486608477
