feature,f_score,p_value,selected
energy_ratio,20.66466169656141,3.963530784462838e-05,True
spectral_entropy,14.85845259580558,0.0003579361625303154,True
mean,8.209256375426472,0.006262617748928557,True
skewness,6.856414840352939,0.011919189439552638,True
spectral_edge,5.609756097560978,0.022117448636879772,False
phase_locking_value,2.3641015240710455,0.13100623710464912,False
median,1.580699380691484,0.21500603437836557,False
signal_coherence,1.3682686098766097,0.24813483864889396,False
lempel_ziv,1.2836486830596863,0.26309262847583104,False
sample_entropy,0.9736069724334317,0.32894409287697124,False
psd_delta,0.8508216000652411,0.36113294146907415,False
microstate_var,0.6332228194395751,0.43026299756821784,False
std,0.6201092110464084,0.43504560662610803,False
hjorth_mobility,0.47949677459348883,0.4921313829314665,False
hjorth_complexity,0.44053642492641154,0.5101767232216212,False
energy,0.43531022146162085,0.5126847856610559,False
wavelet_complexity,0.37689553689359423,0.5422937450885585,False
variance,0.3730022319078831,0.5443783913350428,False
hjorth_activity,0.3730022319078831,0.5443783913350428,False
alpha_peak_freq,0.33439953474847345,0.5659003896607395,False
psd_gamma_low,0.24342004313752572,0.6240941805599274,False
psd_gamma_high,0.1502610852770518,0.7000739057493494,False
kurtosis,0.11115228833512668,0.7403510204843282,False
zcr,0.1071511314094724,0.7448962034688666,False
perm_entropy,0.10328406394883288,0.7493794176703052,False
total_power,0.0905922042508839,0.7647819533264354,False
dyn_conn_variance,0.08485635153251467,0.7721305608516216,False
dfa,0.08425738663107207,0.7729133312193573,True
ind_alpha_power,0.07186156578109786,0.7898438484010473,False
psd_beta,0.0579723935630372,0.8107997681801699,False
psd_alpha,0.052944955800835976,0.8190360420654259,False
higuchi_fd,0.0438067639257581,0.8351377063845832,False
ratio_beta_alpha,0.03233385256698453,0.8580866802542564,False
psd_theta,0.020256424747714007,0.8874448092273961,False
rel_alpha,0.008808674179362591,0.9256323259303867,False
ptp,0.0009762243154025265,0.9752096550888419,False
ratio_theta_alpha,0.00019163253586336847,0.9890149913724706,False
