label_combination,best_model,n_samples,samples_a_c_b,samples_a_pu_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_a_c_b,recall_a_c_b,f1_a_c_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_et_s,precision_m_et_s,recall_m_et_s,f1_m_et_s,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s,samples_p_af_b,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s
a_pu_b_m_et_s,SVM,48,,24.0,0.6041666666666666,0.6058201058201058,0.6041666666666666,0.6026143790849673,0.6058201058201058,0.6041666666666666,0.6026143790849673,,,,0.6190476190476191,0.5416666666666666,0.5777777777777777,,,,,,,,,24.0,0.5925925925925926,0.6666666666666666,0.6274509803921569,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_m_gp_s,SVM,48,,24.0,0.5416666666666666,0.5444444444444445,0.5416666666666666,0.5343915343915344,0.5444444444444444,0.5416666666666666,0.5343915343915343,,,,0.5555555555555556,0.4166666666666667,0.47619047619047616,,,,,,,,,,,,,24.0,0.5333333333333333,0.6666666666666666,0.5925925925925926,,,,,,,,,,,,,,,,,,,,,,,,
a_pu_b_n_3_s,RandomForest,48,,24.0,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,,,,,,,,,
a_pu_b_o_sq_s,RandomForest,48,,24.0,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,,,,,,,,,,,,
a_pu_b_p_af_b,SVM,48,,24.0,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,0.65,0.5416666666666666,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,,,,,,,,,,,,
a_pu_b_p_af_s,RandomForest,48,,24.0,0.75,0.7517482517482517,0.75,0.7495652173913043,0.7517482517482517,0.75,0.7495652173913044,,,,0.7727272727272727,0.7083333333333334,0.7391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,
a_pu_b_p_sf_b,RandomForest,48,,24.0,0.625,0.6285714285714286,0.625,0.6223776223776224,0.6285714285714286,0.625,0.6223776223776224,,,,0.65,0.5416666666666666,0.5909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6071428571428571,0.7083333333333334,0.6538461538461539,,,,
a_pu_b_p_sf_s,RandomForest,48,,24.0,0.5416666666666666,0.5444444444444445,0.5416666666666666,0.5343915343915344,0.5444444444444444,0.5416666666666666,0.5343915343915343,,,,0.5333333333333333,0.6666666666666666,0.5925925925925926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5555555555555556,0.4166666666666667,0.47619047619047616
b_m_b_i_sg_b,SVM,48,,,0.5625,0.5634920634920635,0.5625,0.5607843137254902,0.5634920634920635,0.5625,0.5607843137254902,,,,,,,24.0,0.5714285714285714,0.5,0.5333333333333333,24.0,0.5555555555555556,0.625,0.5882352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_m_et_s,RandomForest,48,,,0.875,0.8776223776223776,0.875,0.8747826086956522,0.8776223776223775,0.875,0.8747826086956522,,,,,,,24.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,,,,,24.0,0.8461538461538461,0.9166666666666666,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_m_gp_s,SVM,48,,,0.6666666666666666,0.6875,0.6666666666666667,0.6571428571428571,0.6875,0.6666666666666666,0.6571428571428571,,,,,,,24.0,0.625,0.8333333333333334,0.7142857142857143,,,,,,,,,24.0,0.75,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,
b_m_b_n_3_s,SVM,48,,,0.6875,0.6878260869565218,0.6875,0.6873643074250977,0.6878260869565217,0.6875,0.6873643074250978,,,,,,,24.0,0.68,0.7083333333333334,0.6938775510204082,,,,,,,,,,,,,24.0,0.6956521739130435,0.6666666666666666,0.6808510638297872,,,,,,,,,,,,,,,,,,,,
b_m_b_o_sq_s,SVM,48,,,0.6875,0.7049335863377608,0.6875,0.6807095343680709,0.7049335863377609,0.6875,0.6807095343680709,,,,,,,24.0,0.7647058823529411,0.5416666666666666,0.6341463414634146,,,,,,,,,,,,,,,,,24.0,0.6451612903225806,0.8333333333333334,0.7272727272727273,,,,,,,,,,,,,,,,
b_m_b_p_af_b,RandomForest,48,,,0.7291666666666666,0.7295652173913043,0.7291666666666667,0.7290490664350847,0.7295652173913044,0.7291666666666666,0.7290490664350848,,,,,,,24.0,0.7391304347826086,0.7083333333333334,0.723404255319149,,,,,,,,,,,,,,,,,,,,,24.0,0.72,0.75,0.7346938775510204,,,,,,,,,,,,
b_m_b_p_af_s,RandomForest,48,,,0.8541666666666666,0.8547826086956521,0.8541666666666667,0.8541033434650456,0.8547826086956523,0.8541666666666666,0.8541033434650456,,,,,,,24.0,0.84,0.875,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.8695652173913043,0.8333333333333334,0.851063829787234,,,,,,,,
