feature,mutual_info,importance
mean,0.43099650368104925,100.0
energy_ratio,0.24220589623621835,56.196719501803244
skewness,0.2083712888124727,48.346398876282734
psd_gamma_high,0.1494892163678081,34.68455430404947
alpha_peak_freq,0.13063168111037093,30.30922060728419
signal_coherence,0.1300806766457363,30.181376306941004
ptp,0.11970025673036488,27.772906672799085
variance,0.11264982079550112,26.137061399195357
hjorth_activity,0.11264982079550112,26.137061399195357
std,0.11087807626231205,25.725980446552594
sample_entropy,0.11076410733687059,25.699537325908206
dfa,0.10716463828101741,24.864386918628593
energy,0.10189155791348625,23.640924472299005
median,0.09355777822531763,21.70731721168515
microstate_var,0.05946919452783472,13.798068898453007
psd_gamma_low,0.05137560683254483,11.920191090590462
hjorth_complexity,0.04691993026194918,10.886383035875248
wavelet_complexity,0.042619987067661125,9.888708308223594
psd_alpha,0.039746425839780386,9.221983357246437
phase_locking_value,0.038009685822059325,8.819024167812662
higuchi_fd,0.036678970692267665,8.510271053013284
spectral_entropy,0.030630510822165835,7.106904710492353
perm_entropy,0.028701630610547202,6.659365068025539
spectral_edge,0.014215526048663385,3.298292660671631
psd_delta,0.010093171416085234,2.3418221098968575
kurtosis,0.0,0.0
zcr,0.0,0.0
psd_theta,0.0,0.0
psd_beta,0.0,0.0
total_power,0.0,0.0
rel_alpha,0.0,0.0
ratio_theta_alpha,0.0,0.0
ratio_beta_alpha,0.0,0.0
ind_alpha_power,0.0,0.0
lempel_ziv,0.0,0.0
hjorth_mobility,0.0,0.0
dyn_conn_variance,0.0,0.0
