feature,f_value,p_value,importance
median,7.305370595368877,5.928098454679155e-11,100.0
mean,6.4541931412416575,1.5322960504779135e-09,88.34860678160791
skewness,4.747273329413816,1.11943013655959e-06,64.98333339068759
energy_ratio,4.48281201395876,3.10976958034829e-06,61.363238940958965
dyn_conn_variance,3.8797393585519035,3.154323623805829e-05,53.108043019903775
psd_gamma_low,3.4397968166084745,0.00016737307411640172,47.08586336179959
kurtosis,2.456370342306441,0.006073442667604091,33.6241715630911
ratio_beta_alpha,2.21709117167838,0.013843363433348929,30.348784400942908
lempel_ziv,2.1893608548920764,0.015202077547078094,29.96919630990366
ptp,2.1881688994273696,0.015263236262898678,29.952880156614153
spectral_entropy,2.0692785297223684,0.0226873492411994,28.325442257975997
higuchi_fd,2.0606920308524073,0.023338494739096674,28.207905457373375
signal_coherence,2.0251210648336495,0.026228014279144705,27.720990172866014
ind_alpha_power,1.9969376675831083,0.028752484240594033,27.33520006293774
psd_gamma_high,1.9930447201820716,0.029118566777926957,27.28191122084252
zcr,1.7193824183767248,0.06888587870139097,23.53586852208018
perm_entropy,1.7098731444808348,0.07089927064636882,23.405700260638135
hjorth_mobility,1.6903993154992625,0.07518847629052931,23.13913159410235
dfa,1.6685913443465157,0.08026668717638066,22.84061188359551
spectral_edge,1.6677305414080679,0.08047327634161767,22.82882873136236
ratio_theta_alpha,1.6547157766677867,0.08365507307876274,22.650675349950998
rel_alpha,1.5944343696828926,0.09989501592738571,21.82550972422479
phase_locking_value,1.5385675198397695,0.11735136470100678,21.060773026561034
psd_alpha,1.4906138273949359,0.1343786948196061,20.404356054707023
psd_beta,1.4445777083466251,0.15265838175848456,19.774187900370066
sample_entropy,1.4367653502582542,0.15595860731426486,19.66724797191081
microstate_var,1.354635508638074,0.19435897501510171,18.543008748889804
alpha_peak_freq,1.3174481615700893,0.21408796218352782,18.033967536229643
psd_delta,1.2123743508169051,0.2782671539487913,16.59565842676716
hjorth_complexity,1.200450875617262,0.2863591427971055,16.43244322715495
std,1.1740309304654346,0.30488277247661283,16.070792236189806
total_power,1.0307723029350233,0.41916358134350734,14.109787990611522
variance,0.9935255018418886,0.4524005284393665,13.599932937991102
hjorth_activity,0.9935255018418886,0.4524005284393665,13.599932937991102
wavelet_complexity,0.8841079986721608,0.5564136756190876,12.10216493647327
energy,0.8271012685576243,0.6129979826467115,11.321824919901422
psd_theta,0.5234455034495791,0.8869353135183122,7.165214914372846
