Channel,mean,median,variance,std,skewness,kurtosis,zcr,energy,ptp,psd_delta,psd_theta,psd_alpha,psd_beta,total_power,rel_alpha,ratio_theta_alpha,ratio_beta_alpha,spectral_edge,sample_entropy,perm_entropy,higuchi_fd,hjorth_activity,hjorth_mobility,hjorth_complexity,spectral_entropy,lempel_ziv,phase_locking_value,alpha_peak_freq,ind_alpha_power,wavelet_complexity,signal_coherence,dyn_conn_variance,psd_gamma_low,psd_gamma_high,dfa,energy_ratio,microstate_var
O1,-0.11657981012295693,0.5047550400780594,122.70778547572581,11.077354624445578,-0.47898452663405966,2.765558132663795,0.0927734375,122.7213763278541,109.75305603523339,6.479859279481954,1.3820426147079017,6.865193629772634,1.1181113008071248,72.55452623089626,0.0946211626814978,0.20131152728370652,0.16286668098597465,25.390625,2.4049029005159404,0.7272646353877659,1.3936083917714097,122.70778547572581,0.26316125512153693,2.08268700454098,3.869773092891409,126,0.36005055031289035,10.7421875,9.31822961531338,7.749849000291671,0.36100274466550664,0.007972003265376016,0.09850760136789541,2.150695153413212e-05,0.9005925006025352,0.5886265519743781,0.25473455970733183
Oz,-0.2703653637935363,0.0583067822903018,75.17402014548794,8.67029527441182,-0.2815953681347971,0.7043331087029467,0.1005859375,75.24711757542717,69.80610361899141,4.233280597272084,1.3693458405667178,5.096583931609329,1.2413955900661793,60.90868150171167,0.0836758210152046,0.2686791503763825,0.24357405013326022,27.34375,2.1599028472496418,0.7208228077592621,1.3986575550972236,75.17402014548794,0.32376035989291857,1.704887907695871,4.34018814009348,131,0.3044964514916534,12.20703125,6.831703892791228,7.825954869950206,0.37999809938219664,0.007039798661345275,0.08754117146816547,1.2431966997032783e-05,0.832839941761045,1.104978654361483,0.2457046258068896
O2,0.6725843652993856,0.43930902045059383,122.58908638518476,11.07199559181563,0.5434544268068563,3.2321949010620195,0.08951822916666667,123.04145611362992,111.64136671197974,6.416336019043179,1.8667237560360541,6.827105658159681,1.5112499395390713,81.22682462561578,0.08404988979474003,0.2734282797871989,0.22136026820279867,25.390625,2.404419000746227,0.7142234836181818,1.3693013097376776,122.58908638518476,0.28754500545770256,1.9022388407287658,4.196052210586546,128,0.27670295169143666,11.23046875,11.176942403854198,7.693448209209638,0.4060456686364088,0.009392344729213183,0.09361014520390086,4.0410232068995945e-05,0.8588700093251866,1.7759674288796214,0.2588830165533568
PO3,0.5057877028094596,0.3221106466903194,133.39240721516873,11.549563074643505,0.1558243211840742,1.8769863378226432,0.09114583333333333,133.64822841548198,102.58141395215023,6.427552326229288,2.145871419426297,11.829176738919205,1.5491402679569048,103.06737443529414,0.1147713018181673,0.1814049672929613,0.13095926302800723,23.4375,2.4466476072257306,0.7168143999910541,1.3426630644741115,133.39240721516873,0.28183683881580684,1.7770273760499367,4.000377414491831,125,0.348649568125799,10.7421875,13.305248297281725,7.707529363291111,0.43784965969316225,0.0056034834764536615,0.07489574002212118,4.0621378437945934e-05,0.8393068050168632,1.276889097713287,0.2597603219749012
PO4,0.3172343155621491,0.8010290281578634,125.3036272330728,11.193910274478387,-0.3746909897736978,0.7836338900075126,0.08951822916666667,125.404264844043,82.2097644743179,7.535349093485363,2.178725405285784,10.352720524007633,2.1056029431033148,110.63268397348943,0.09357741448710061,0.21044955287196138,0.20338643723845223,23.4375,2.4153699049446717,0.6918919577768102,1.319971373825863,125.3036272330728,0.2980879202219547,1.685235978100336,4.092884705322455,123,0.3771504926895719,12.20703125,15.683707171923777,7.793693148722475,0.4410682232855006,0.009151816066694901,0.07554309654280153,2.5753619213600265e-05,0.7897576992107865,0.9103927519223473,0.21877518766200416
TP7,0.21039231011736095,0.5209174982201716,39.68049802509729,6.29924582986704,-0.8690064764431193,2.6569797181565376,0.10807291666666667,39.72476294925381,49.34563607671157,3.5706282743910065,1.288384359670245,1.6287503189965153,0.7035098105249671,35.043600127289466,0.046477825140121956,0.7910263130226293,0.4319322626186219,27.34375,1.840429916702688,0.7279119755586395,1.4318894733196017,39.68049802509729,0.3298988914699709,1.6735882251110605,4.617779784332958,140,0.26061212639661524,9.765625,1.6433441369093953,7.821274700372268,0.44615935042784455,0.01329468196545627,0.06611691577166155,9.892113187937985e-06,0.7749068120419984,1.01071278918684,0.3136612403284048
TP8,0.4402198518120568,0.9775240795000855,121.30217742756726,11.013726772876076,-0.4585650921695627,2.048344266705903,0.08756510416666667,121.4959709454967,94.20046153997185,8.109223922740322,2.97873532032164,4.7645314098589235,1.6633023707413597,85.2401813622877,0.05589536922274624,0.6251895651601632,0.349100935151692,25.390625,2.3991423832850884,0.7182475283492782,1.373906993186941,121.30217742756726,0.29423618831937337,1.8436295713504245,4.279645388962186,119,0.2831419319275816,10.7421875,5.9745953232441185,7.715249474642081,0.48986284623705173,0.007803861903216294,0.1030155514342284,2.3274219954890166e-05,0.8916236404981593,1.4882830487250576,0.26574983343719466
Fz,0.021372931084651176,-0.1696889392044767,158.87737429521906,12.60465684956235,0.0012164359479114198,0.7789873936151372,0.07877604166666667,158.8778310974022,88.57089485006497,14.31001547987809,4.244513926579119,4.631475631090149,1.3878359494157966,103.41505175979569,0.04478531463531803,0.9164495864096887,0.299653082507773,19.53125,2.5340663369184564,0.7168510141986584,1.3449435700177208,158.87737429521906,0.2301480836114761,2.2490544767156178,3.713821581534791,115,0.3417461494405449,10.7421875,3.925804692478877,7.782858372209694,0.5064963992162148,0.011211358681418336,0.07073513199236661,2.326270445753365e-05,0.9865104661298545,1.3551514106993077,0.2933168504881256
