label_combination,best_model,n_samples,samples_m_et_s,samples_n_3_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s
m_et_s_n_3_s,SVM,64,32.0,32.0,0.609375,0.6094819159335289,0.609375,0.6092796092796093,0.6094819159335289,0.609375,0.6092796092796093,0.6129032258064516,0.59375,0.6031746031746031,0.6060606060606061,0.625,0.6153846153846154,,,,
m_et_s_p_af_s,SVM,64,32.0,,0.640625,0.6407624633431085,0.640625,0.6405372405372405,0.6407624633431085,0.640625,0.6405372405372405,0.6363636363636364,0.65625,0.6461538461538462,,,,32.0,0.6451612903225806,0.625,0.6349206349206349
n_3_s_p_af_s,RandomForest,64,,32.0,0.671875,0.6733990147783251,0.671875,0.6711524345485687,0.6733990147783251,0.671875,0.6711524345485687,,,,0.6896551724137931,0.625,0.6557377049180327,32.0,0.6571428571428571,0.71875,0.6865671641791045
