,Feature,Importance
32,psd_gamma_low,0.09327857837995523
12,psd_beta,0.05341749466882553
16,ratio_beta_alpha,0.05034047621634757
33,psd_gamma_high,0.0448784886715879
15,ratio_theta_alpha,0.044825650627422844
14,rel_alpha,0.04382373371945996
35,energy_ratio,0.038762105433187845
19,perm_entropy,0.03591557766232318
29,wavelet_complexity,0.03390070481504742
22,hjorth_mobility,0.0335364616810558
24,spectral_entropy,0.03029369773932735
31,dyn_conn_variance,0.030125777228684737
36,microstate_var,0.028993285026502367
10,psd_theta,0.028660039216200545
26,phase_locking_value,0.0278109409549298
28,ind_alpha_power,0.026006477554817765
25,lempel_ziv,0.02535383621868193
6,zcr,0.025084083482249935
0,mean,0.024686476997620117
20,higuchi_fd,0.021701497222059236
5,kurtosis,0.021004199491025152
4,skewness,0.019287397723126376
2,variance,0.018404338177507924
34,dfa,0.01778851574038284
11,psd_alpha,0.017574268660977495
23,hjorth_complexity,0.017444227458213606
9,psd_delta,0.016757664597198543
30,signal_coherence,0.01666399136692287
27,alpha_peak_freq,0.016194338205359222
8,ptp,0.01511406083992601
21,hjorth_activity,0.014438194431079087
13,total_power,0.013223175168298903
1,median,0.013012669584348775
7,energy,0.01277440586803199
17,spectral_edge,0.011236330080560221
3,std,0.008925760786986875
18,sample_entropy,0.00876107830376722
