feature,rf_importance,importance
energy_ratio,0.08862008799648351,100.0
psd_delta,0.06115266414904868,69.0054202513038
skewness,0.05030750896021833,56.767613413128814
psd_gamma_low,0.049105158514218955,55.410866344623216
median,0.046034257866552415,51.94562418893003
spectral_entropy,0.04275323364882237,48.24327600590833
hjorth_mobility,0.04105331294077028,46.325064518553965
dfa,0.04059282026499971,45.80543890524059
mean,0.04038346634078043,45.5692013557726
psd_gamma_high,0.03503429943740114,39.53313546561962
signal_coherence,0.029252625317007588,33.00902309888063
hjorth_complexity,0.028272572875748855,31.903119839906644
energy,0.026791797809927725,30.232194997358658
dyn_conn_variance,0.023486503181732777,26.502459783908964
zcr,0.023465170272480875,26.47838746606975
sample_entropy,0.02317734227607952,26.153598805949294
alpha_peak_freq,0.02312452682225166,26.09400119662401
variance,0.022463428553093395,25.348009758221814
psd_theta,0.022154574671006073,24.999495229439603
rel_alpha,0.021884589769786012,24.69484093793092
ptp,0.021694439416770833,24.48027293499379
kurtosis,0.01979534168717714,22.33730764063632
phase_locking_value,0.01884650592614127,21.266629668534193
spectral_edge,0.017819272368874654,20.107486656503582
microstate_var,0.01727580465558487,19.494230987753458
wavelet_complexity,0.016903401594849328,19.07400678220954
ratio_beta_alpha,0.01615156640465838,18.225626683308285
std,0.016027155386870818,18.08523975682216
hjorth_activity,0.015253826707626428,17.21260613985365
psd_alpha,0.014544480015396545,16.41217058594399
higuchi_fd,0.014168871959801673,15.988329824682529
lempel_ziv,0.014157130852892382,15.975081014875705
perm_entropy,0.013958792839114048,15.751273954577817
psd_beta,0.012193813482381128,13.759649485864859
ratio_theta_alpha,0.011851892413784081,13.373821536099548
ind_alpha_power,0.011041662302250482,12.459547887933287
total_power,0.009206100317415802,10.3882771113713
