feature,mutual_info,importance
wavelet_complexity,0.7506185277888306,100.0
lempel_ziv,0.658617882342317,87.74335537419668
energy_ratio,0.6422887524032683,85.56793212862999
dfa,0.4216108941632357,56.16846354768454
hjorth_mobility,0.36935124938340147,49.206252671571406
median,0.33983606168628544,45.274137142254304
alpha_peak_freq,0.3355911751042049,44.708618649847104
mean,0.31163269494536294,41.516786944144506
hjorth_complexity,0.2895592571560144,38.576087111651375
spectral_entropy,0.2700961387961982,35.98314307426522
ratio_theta_alpha,0.23847074580906247,31.769898687626153
zcr,0.22443724138463894,29.900306623896608
spectral_edge,0.213500917671535,28.4433317014523
skewness,0.21144452005982117,28.16937128939432
sample_entropy,0.18012758669710616,23.997220962254335
std,0.1766503273802038,23.533968432751013
rel_alpha,0.17206106673869215,22.922571235424872
variance,0.16828398825617086,22.419375758269812
hjorth_activity,0.16828398825617086,22.419375758269812
energy,0.16079535359538966,21.421713912266465
kurtosis,0.15670184821554844,20.876362947922452
psd_delta,0.1375616459883795,18.326438916130687
dyn_conn_variance,0.07835843693504074,10.439182358829957
ptp,0.06646999738213921,8.855363266604448
ratio_beta_alpha,0.0493769262194137,6.578165125349099
signal_coherence,0.04903833877632735,6.5330573335012545
psd_theta,0.039772205212227796,5.2985909273234455
microstate_var,0.01779485428962957,2.3706921200106246
phase_locking_value,0.015527566935397807,2.068636246048823
higuchi_fd,0.0,0.0
perm_entropy,0.0,0.0
total_power,0.0,0.0
psd_beta,0.0,0.0
psd_alpha,0.0,0.0
ind_alpha_power,0.0,0.0
psd_gamma_low,0.0,0.0
psd_gamma_high,0.0,0.0
