label_combination,best_model,n_samples,samples_m_et_s,samples_p_af_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s,samples_a_c_b,precision_a_c_b,recall_a_c_b,f1_a_c_b,samples_a_pu_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s
p_af_s_m_gp_s,SVM,80,,,0.7875,0.7666666666666666,0.8125,0.7717737875482463,0.8333333333333333,0.7875,0.7957375398556804,,,,,,,56.0,0.9333333333333333,0.75,0.8316831683168316,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.6,0.875,0.711864406779661,,,,,,,,
p_af_s_n_3_s,RandomForest,80,,,0.9,0.8887147335423198,0.8690476190476191,0.8779557589626239,0.8987460815047023,0.9,0.8987032799389778,,,,,,,56.0,0.9137931034482759,0.9464285714285714,0.9298245614035088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.8636363636363636,0.7916666666666666,0.8260869565217391,,,,
p_af_s_o_sq_s,RandomForest,80,,,0.95,0.9404761904761905,0.9404761904761905,0.9404761904761905,0.95,0.95,0.95,,,,,,,56.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
p_sf_b_p_sf_s,RandomForest,144,,,0.875,0.8666404405979544,0.8782467532467533,0.8707876370887337,0.8800157356412274,0.875,0.8759720837487538,,,,,,,,,,,88.0,0.926829268292683,0.8636363636363636,0.8941176470588236,56.0,0.8064516129032258,0.8928571428571429,0.847457627118644,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p_sf_b_a_c_b,RandomForest,112,,,0.9285714285714286,0.893939393939394,0.893939393939394,0.893939393939394,0.9285714285714286,0.9285714285714286,0.9285714285714286,,,,,,,,,,,88.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,,,,,24.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,
p_sf_b_a_pu_b,RandomForest,112,,,0.9821428571428571,0.9734848484848485,0.9734848484848485,0.9734848484848485,0.9821428571428571,0.9821428571428571,0.9821428571428571,,,,,,,,,,,88.0,0.9886363636363636,0.9886363636363636,0.9886363636363636,,,,,,,,,24.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,,,,,,,,,,,,,,,,,
p_sf_b_b_m_b,RandomForest,112,,,0.8928571428571429,0.8363148479427549,0.856060606060606,0.8455172413793104,0.8966266291847687,0.8928571428571429,0.8943842364532019,,,,,,,,,,,88.0,0.9418604651162791,0.9204545454545454,0.9310344827586207,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,,,,,
p_sf_b_i_sg_b,RandomForest,112,,,0.8928571428571429,0.8363148479427549,0.856060606060606,0.8455172413793104,0.8966266291847687,0.8928571428571429,0.8943842364532019,,,,,,,,,,,88.0,0.9418604651162791,0.9204545454545454,0.9310344827586207,,,,,,,,,,,,,,,,,24.0,0.7307692307692307,0.7916666666666666,0.76,,,,,,,,,,,,
p_sf_b_m_gp_s,RandomForest,112,,,0.9375,0.9027586206896552,0.9147727272727273,0.9085714285714286,0.9386206896551724,0.9375,0.9379591836734693,,,,,,,,,,,88.0,0.9655172413793104,0.9545454545454546,0.96,,,,,,,,,,,,,,,,,,,,,24.0,0.84,0.875,0.8571428571428571,,,,,,,,
p_sf_b_n_3_s,RandomForest,112,,,0.9821428571428571,0.9734848484848485,0.9734848484848485,0.9734848484848485,0.9821428571428571,0.9821428571428571,0.9821428571428571,,,,,,,,,,,88.0,0.9886363636363636,0.9886363636363636,0.9886363636363636,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,,,,
