feature,f_score,p_value,selected
wavelet_complexity,98.22566890899205,1.8715582052338203e-15,True
lempel_ziv,69.8209855274099,1.9208186386050567e-12,True
dfa,65.51981442678365,6.175229268838221e-12,True
psd_gamma_low,41.517241739794756,8.837434208121902e-09,True
zcr,36.45986185383053,4.9681350096290956e-08,True
psd_gamma_high,34.28761923525446,1.0696736055414334e-07,False
hjorth_mobility,23.25073189940479,6.894398561975478e-06,True
hjorth_complexity,20.807499762484802,1.8588341078601247e-05,False
sample_entropy,17.485636012338386,7.510357818251169e-05,False
std,14.59464959874981,0.0002661860700987984,False
alpha_peak_freq,13.712758316959139,0.00039563724714401186,False
spectral_entropy,13.41246860240663,0.0004533305576574626,True
ratio_beta_alpha,13.32441374741809,0.00047184665099172623,False
rel_alpha,13.278447580639732,0.0004818210852570516,False
spectral_edge,12.597916537483723,0.0006578675884770687,True
microstate_var,12.05018340145114,0.0008473182986313171,False
energy,10.982922442836346,0.0013964727834711514,False
hjorth_activity,10.118248181452707,0.0021074029831847033,False
variance,10.118248181452707,0.0021074029831847033,False
psd_alpha,9.149374330943276,0.0033679382998741724,False
signal_coherence,8.180641625462593,0.005430553360309706,False
ratio_theta_alpha,7.903089026086288,0.006238310855789616,False
mean,7.282831750488911,0.008531031053309705,False
ptp,7.118482342817192,0.009275740706206131,False
psd_beta,6.42253332435783,0.013271033792030245,False
total_power,5.588899114200439,0.020562957491374805,False
psd_theta,5.345206473672555,0.02341884982053781,False
ind_alpha_power,2.8740912250372244,0.09400446433707868,False
higuchi_fd,1.8112325302146948,0.18225932461906835,True
psd_delta,1.6667991495257493,0.2005011191939507,False
kurtosis,1.2770409507031095,0.2619130511632998,False
skewness,1.151438526300634,0.2865568405100057,False
perm_entropy,1.0153409308250605,0.3167424206688779,True
energy_ratio,0.3723250091495727,0.5435133800329384,False
median,0.22897851764567634,0.6336208766563682,False
phase_locking_value,0.19007305135095895,0.664060083364364,False
dyn_conn_variance,0.025274686726680356,0.8740954392210638,False
