feature,anova_score,mi_score,rf_score,ensemble_score,importance
wavelet_complexity,1.0,1.0000000000000002,1.0,1.0,100.0
lempel_ziv,0.2823602888295122,0.4886226617717033,0.39734742735885265,0.3902338561239057,39.02338561239057
dfa,0.06357380846604041,0.18047666276411156,0.12172574386057285,0.12190543891327472,12.190543891327472
psd_gamma_high,0.05001338174809412,0.04577254837750964,0.22602629429842172,0.11914629675704982,11.914629675704983
hjorth_mobility,0.06023588478796813,0.15939724335893135,0.1259942631406698,0.11628764370033777,11.628764370033776
zcr,0.01954390348398817,0.16246756951627986,0.11261444492639087,0.09964921987063677,9.964921987063677
energy_ratio,0.0022176113515545407,0.18808136083437024,0.08630486324634011,0.09161163695431349,9.161163695431348
rel_alpha,0.02910149798141251,0.1554014456604792,0.07562563506079482,0.08560113711688544,8.560113711688544
hjorth_complexity,0.0624905082605517,0.03973606403819012,0.10053671003004325,0.07088265570163985,7.088265570163984
alpha_peak_freq,0.03184449447202995,0.10615606888899454,0.07001264242674096,0.06940522597900373,6.940522597900372
mean,0.0018953269050744,0.03438443351879666,0.12764112777266168,0.061940379236225994,6.1940379236225995
skewness,0.009791068955889546,0.030841829730731574,0.1077405200277899,0.0552860776171023,5.52860776171023
phase_locking_value,0.007827450210804469,0.0,0.11317037404970687,0.04761638468312409,4.761638468312409
ratio_theta_alpha,0.038461102191519825,0.0,0.08912290336632794,0.04718749200398713,4.718749200398713
signal_coherence,0.0031866238774178103,0.012064472754631943,0.10384337521706408,0.04611267907644056,4.611267907644056
ratio_beta_alpha,0.026142649410446937,0.0,0.08748789586746872,0.04283795317012157,4.2837953170121565
median,0.00048215773978324306,0.0,0.0979373113431474,0.03931957185919393,3.931957185919393
spectral_entropy,0.029123916256871493,0.0,0.0763338390629562,0.03927071050224393,3.927071050224393
psd_delta,0.01046681287823419,0.0,0.072037090458725,0.03195488004696026,3.195488004696026
ind_alpha_power,0.005943294275228022,0.04309486231518972,0.040583935931745196,0.030945021349823403,3.0945021349823403
psd_gamma_low,0.009190368307464933,0.0,0.06935889466586105,0.0305006683585839,3.0500668358583902
microstate_var,0.015572603899324937,0.0,0.06173840639147631,0.029367143726388007,2.9367143726388005
psd_beta,0.009403799826488276,0.0,0.06511298455361114,0.02886633376939094,2.886633376939094
dyn_conn_variance,0.0047785440828936885,0.0,0.06835087403079415,0.028773912837185767,2.877391283718577
psd_alpha,0.017452087529155395,0.0,0.054987898901506564,0.027230785819349245,2.7230785819349244
kurtosis,0.006589765424109491,0.01105810445759526,0.053435729476165726,0.02666865275497772,2.666865275497772
psd_theta,0.002844287579838378,0.0,0.060930462146216655,0.025225471132438174,2.5225471132438173
spectral_edge,0.012982837919741428,0.0,0.04965748347433906,0.023757844765658058,2.375784476565806
ptp,0.011384086478221832,0.0,0.04827576926816759,0.022725533650733584,2.2725533650733585
variance,0.01658273905748631,0.0,0.040424851149894955,0.021144762177203874,2.1144762177203873
hjorth_activity,0.01658273905748631,0.0,0.040418612362955436,0.021142266662428067,2.1142266662428066
energy,0.016562921511030643,0.0,0.03967994510788023,0.020840854496461284,2.0840854496461283
sample_entropy,0.013993027842041143,0.0,0.03763251659826527,0.01925091499191845,1.925091499191845
higuchi_fd,0.0037667818619255234,0.0,0.044658122984684176,0.01899328375245133,1.899328375245133
std,0.015675867774535616,0.0,0.033916149204115884,0.018269220014007038,1.8269220014007037
perm_entropy,0.0039833064693487845,0.0,0.03787143339619034,0.01634356529928077,1.6343565299280771
total_power,0.0020714713610065476,0.0,0.029770568043408097,0.012529668625665203,1.2529668625665202
