Timestamp,O1,Oz,O2,PO3,PO4,TP7,TP8,Fz
0.0,1.5916157281026244e-12,-1.1368683772161603e-13,1.1368683772161603e-12,2.1600499167107046e-12,-3.183231456205249e-12,3.183231456205249e-12,1.7053025658242404e-13,6.821210263296962e-13
0.004,-33.09265083752885,-33.01193722174304,-59.174907497668414,-41.77601001100271,-32.076123941845935,-60.6540434919001,-41.12426382314675,-21.084789457901422
0.008,-57.478493982361925,-57.52570398071964,-103.3645803283668,-71.4280816935206,-56.246294161139076,-104.70414247982637,-71.98885049437814,-36.967850493390415
0.012,-68.16861682068713,-68.6352666021285,-123.88639170847938,-82.29204237590636,-67.97166407608717,-122.87507186250957,-86.7486190582905,-44.709828993567726
0.016,-65.7278407581104,-66.82319087713785,-121.53458468331218,-75.80783378992788,-67.77079328168855,-116.83171566840485,-86.1892202090321,-44.76444644561661
0.02,-55.383340031783945,-57.13954510813758,-105.19533553811306,-60.08510849816065,-60.45669893650859,-97.38494877220853,-76.72205470112766,-40.45249932147857
0.024,-43.981431691388224,-46.29769326001343,-86.78757970403956,-45.28262525179065,-52.392535854125015,-78.39894552053443,-66.7839080449516,-36.10665408498073
0.028,-36.55205214759857,-39.35143231657611,-75.40002610584645,-38.45208950680757,-48.314800375728964,-69.85643440101956,-62.6599545716947,-34.92475073395974
0.032,-34.32784714273484,-37.71250404770933,-73.7055043759986,-40.62669310562359,-49.40414540489536,-73.77112585730958,-65.91572216510798,-37.66712108702518
0.036000000000000004,-35.10881719555823,-39.3822939989756,-78.23399666149538,-47.488301229354136,-53.478035109793154,-84.7921656355062,-73.58829176223213,-42.780738390815486
0.04,-35.45119965259752,-40.9449397705589,-82.80726218117564,-52.834706846313566,-56.924900645261744,-94.60300978398209,-80.68310639767702,-47.68910108406743
0.044,-33.12616518543172,-39.903625420157624,-82.70135683477042,-52.52332439535758,-57.05489574134447,-97.12838357180306,-83.2758090235975,-50.367491689762176
0.048,-28.404615954772254,-36.01119859768124,-77.15408157418148,-46.65072203230511,-53.543175018129716,-91.5971988442476,-80.48521084186257,-50.315153165578124
0.052000000000000005,-23.62142162613287,-31.045046454501318,-69.12737953388222,-39.001502006274336,-48.32899970498971,-82.11711695216286,-74.4645345754916,-48.51707109573266
0.056,-21.52947601420641,-27.450525546988786,-62.95637108201737,-34.46325722535295,-44.28118969819815,-74.55484922028597,-68.76836268434846,-46.614902724487706
0.06,-23.58116920738911,-26.837684668036786,-61.6074018476898,-36.14305949343651,-43.54375608236501,-72.91790283124647,-66.25287847975056,-45.878051965816496
0.064,-29.110642227221916,-29.179577172337474,-65.11715816538361,-43.78212075374171,-46.467318241956775,-77.29181402834683,-67.66031258850711,-46.549820089688694
0.068,-35.793383033175246,-33.055525068713564,-70.94525779573036,-54.18111693288603,-51.61802916899512,-84.30536868254319,-71.54396460415296,-47.86995729270518
0.07200000000000001,-40.967208506110666,-36.61545049578075,-75.75593581759841,-63.12762862418634,-56.701289596443246,-89.51062151492124,-75.35564903415087,-48.64622132390633
0.076,-42.97812612197035,-38.592940081569765,-77.38632539628463,-67.56653544510127,-59.7724031357933,-90.03704865685057,-76.9214018749305,-47.97272168058467
0.08,-41.82184795221215,-38.78737898635211,-75.84398203961729,-66.82319902775683,-60.067752823809315,-85.96244977970423,-75.47046626347526,-45.690830379792004
0.084,-38.806461735986574,-37.81693112506983,-72.84026903043144,-62.34840162945068,-58.06791661528678,-79.71728221049233,-71.71870783487788,-42.37890069850107
0.088,-35.612058117181206,-36.47344913649604,-70.42263220881102,-56.455371659087774,-54.944543119065344,-74.21844279381162,-67.17641009853423,-38.98447044373057
0.092,-33.42421761036579,-35.20666842154236,-69.72860388388557,-51.007459820282065,-51.855238384368704,-71.10137092544443,-63.24958469583942,-36.39092430781122
0.096,-32.593257827958425,-34.044308052503425,-70.59063447394163,-46.7969501842926,-49.487148126787986,-70.11547459322384,-60.65243462599608,-35.136855886684316
0.1,-32.846411608364846,-32.871947419383304,-72.04040400469671,-43.75372501833246,-47.996233625481864,-69.8395656215846,-59.33668375437594,-35.342115454693754
