label_combination,best_model,n_samples,samples_m_et_s,samples_p_af_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_p_af_b,recall_p_af_b,f1_p_af_b,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s,samples_p_sf_b,precision_p_sf_b,recall_p_sf_b,f1_p_sf_b,samples_p_sf_s,precision_p_sf_s,recall_p_sf_s,f1_p_sf_s,samples_a_c_b,precision_a_c_b,recall_a_c_b,f1_a_c_b,samples_a_pu_b,precision_a_pu_b,recall_a_pu_b,f1_a_pu_b,samples_b_m_b,precision_b_m_b,recall_b_m_b,f1_b_m_b,samples_i_sg_b,precision_i_sg_b,recall_i_sg_b,f1_i_sg_b,samples_m_gp_s,precision_m_gp_s,recall_m_gp_s,f1_m_gp_s,samples_n_3_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_o_sq_s,precision_o_sq_s,recall_o_sq_s,f1_o_sq_s
m_et_s_p_af_b,SVM,96,40.0,56.0,0.71875,0.7205818497611811,0.7267857142857144,0.7172466455765245,0.7352366478506296,0.71875,0.7206828842587543,0.6326530612244898,0.775,0.6966292134831461,0.8085106382978723,0.6785714285714286,0.7378640776699029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_p_af_s,RandomForest,96,40.0,,0.8125,0.8361344537815126,0.7857142857142857,0.7950664136622392,0.8266806722689076,0.8125,0.8050284629981025,0.8928571428571429,0.625,0.7352941176470589,,,,56.0,0.7794117647058824,0.9464285714285714,0.8548387096774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_p_sf_b,RandomForest,128,40.0,,0.7890625,0.7546816479400749,0.7511363636363637,0.7528427376099549,0.7876872659176029,0.7890625,0.7883233211757134,0.6666666666666666,0.65,0.6582278481012658,,,,,,,,88.0,0.8426966292134831,0.8522727272727273,0.847457627118644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_p_sf_s,RandomForest,96,40.0,,0.78125,0.776683463124141,0.7696428571428571,0.7723320158102767,0.7800045808520385,0.78125,0.7798418972332017,0.7567567567567568,0.7,0.7272727272727273,,,,,,,,,,,,56.0,0.7966101694915254,0.8392857142857143,0.8173913043478261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_a_c_b,RandomForest,64,40.0,,0.6875,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6875,0.6875,0.6875,0.75,0.75,0.75,,,,,,,,,,,,,,,,24.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,
m_et_s_a_pu_b,RandomForest,64,40.0,,0.625,0.6052631578947368,0.6083333333333334,0.6061538461538462,0.631578947368421,0.625,0.6276923076923078,0.7105263157894737,0.675,0.6923076923076923,,,,,,,,,,,,,,,,,,,,24.0,0.5,0.5416666666666666,0.52,,,,,,,,,,,,,,,,,,,,
m_et_s_b_m_b,SVM,64,40.0,,0.6875,0.7186234817813766,0.725,0.6871945259042034,0.7601214574898786,0.6875,0.6896383186705768,0.8846153846153846,0.575,0.696969696969697,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.5526315789473685,0.875,0.6774193548387096,,,,,,,,,,,,,,,,
m_et_s_i_sg_b,RandomForest,64,40.0,,0.796875,0.7947368421052632,0.7625,0.7723666210670315,0.7960526315789473,0.796875,0.7910396716826266,0.8,0.9,0.8470588235294118,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7894736842105263,0.625,0.6976744186046512,,,,,,,,,,,,
m_et_s_m_gp_s,RandomForest,64,40.0,,0.78125,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.78125,0.78125,0.78125,0.825,0.825,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,,,,,,,,
m_et_s_n_3_s,RandomForest,64,40.0,,0.78125,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.78125,0.78125,0.78125,0.825,0.825,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.7083333333333334,0.7083333333333334,0.7083333333333334,,,,
