label_combination,best_model,n_samples,samples_m_et_s,samples_n_3_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s
m_et_s_n_3_s,RandomForest,150,75.0,75.0,0.7666666666666667,0.7667140825035562,0.7666666666666666,0.7666562958353704,0.7667140825035562,0.7666666666666667,0.7666562958353705,0.7631578947368421,0.7733333333333333,0.7682119205298014,0.7702702702702703,0.76,0.7651006711409396,,,,
m_et_s_p_af_s,RandomForest,150,75.0,,0.78,0.7800497866287339,0.78,0.779990221787635,0.780049786628734,0.78,0.779990221787635,0.7837837837837838,0.7733333333333333,0.7785234899328859,,,,75.0,0.7763157894736842,0.7866666666666666,0.7814569536423841
n_3_s_p_af_s,RandomForest,150,,75.0,0.66,0.6607142857142857,0.66,0.6596218020022246,0.6607142857142857,0.66,0.6596218020022248,,,,0.6714285714285714,0.6266666666666667,0.6482758620689655,75.0,0.65,0.6933333333333334,0.6709677419354839
