feature,anova_score,mi_score,rf_score,ensemble_score,importance
energy_ratio,0.9558552789920699,0.7079501664940697,0.7937703452284366,0.8166497717372165,100.0
psd_gamma_high,0.8347649979919969,0.561498134099411,0.8137475642626931,0.7443779653324996,91.15020797091795
hjorth_mobility,0.3674497768939095,1.0,0.617182486293775,0.6571079275856828,80.46385982424894
spectral_edge,1.0,0.7444626033313857,0.23868713761445767,0.6188136360451988,75.77466589243376
ratio_theta_alpha,0.5223553496009741,0.2717380048109421,0.8016435428671013,0.5588854234704155,68.43636560156352
ind_alpha_power,0.9530813365648477,0.0,0.6057836303508357,0.5282378531097887,64.68352424639706
phase_locking_value,0.7838102102371789,0.0,0.722779977116734,0.5242550539178473,64.19582446005303
psd_gamma_low,0.357311793628471,0.0,1.0,0.5071935380885413,62.10661603561278
psd_delta,0.802440386314212,0.0,0.593546649277935,0.4781507756054376,58.550285832847585
spectral_entropy,0.3175896414846453,0.754933474786825,0.3692807977309127,0.4694692539738062,57.48722037540385
dyn_conn_variance,0.4536543451633574,0.0,0.7817459176257828,0.4487946705993204,54.95558636410598
zcr,0.721772616190514,0.04985914259771665,0.4795054097012024,0.42329169151695023,51.83270799384464
psd_beta,0.13285862928586814,0.7708594372449514,0.3216181526065403,0.39976268100186196,48.951545060922214
median,0.10074780921972507,0.4679261623758164,0.38652771276556175,0.32521327658488713,39.82285770962476
rel_alpha,0.168588822526473,0.2525990513474607,0.4396700307179011,0.3022243744493406,37.007831864868386
lempel_ziv,0.5628563030217283,0.0,0.25706423728740313,0.27168258582147975,33.2679436429087
signal_coherence,0.0999643558279199,0.2572328226263558,0.34694449034839997,0.2459369496756427,30.115351548127396
ratio_beta_alpha,0.03067159919384056,0.0,0.47416302654286047,0.19886669037529636,24.351527087585858
ptp,0.052861532052203605,0.0,0.4493815009812955,0.19561106000817927,23.952870223923046
hjorth_complexity,0.28158649484180526,0.0,0.27628301074979933,0.19498915275246131,23.876716739621568
microstate_var,0.024110651841429364,0.07486546311844065,0.3497529328982879,0.16959400764727617,20.767042803000813
wavelet_complexity,0.012253533143204322,0.0,0.4085368007320327,0.1670907802357744,20.46051881950948
dfa,0.020083931889037163,0.09826352501722345,0.32483654662868955,0.16543885572335398,20.258238163885668
sample_entropy,0.04056530689543658,0.0,0.3831230260604563,0.1654188024928135,20.255782615468892
psd_theta,0.20932537337908982,0.015909987316984547,0.22725294333259607,0.15847178554186073,19.4051098801818
mean,0.000630546651924907,0.20786195699699106,0.2352150010263694,0.15663375150522255,19.180039831765793
energy,0.0626865711600114,0.0,0.32007187416128985,0.14683472101251935,17.98013372368494
skewness,8.7284497940514e-05,0.0,0.3540012002316498,0.14162666544204208,17.34239944018683
total_power,0.020018655996616456,0.0,0.33129576561376367,0.13852390304449042,16.962461490660278
perm_entropy,0.0016289626103329674,0.0,0.3421635486091839,0.13735410822677344,16.81921834553228
alpha_peak_freq,0.20304392943618127,0.044426972145460104,0.1496361830002194,0.13409574367458016,16.42022667677054
psd_alpha,0.0057078612548852655,0.0,0.32919547878787897,0.13339054989161717,16.333874631209703
hjorth_activity,0.06284388346307129,0.04939691149734957,0.23039328212973367,0.12582955134001975,15.408018920075014
variance,0.06284388346307129,0.04939691149734957,0.2120190224092896,0.11847984745184212,14.508036560128598
kurtosis,0.016013700670706878,0.0,0.20894760208386107,0.0883831510347565,10.822650552726369
higuchi_fd,0.003961230062017382,0.0,0.21288564421563386,0.08634262670485876,10.572785261567708
std,0.05188201408571646,0.010569499066454826,0.13398483266538633,0.07232938701180593,8.85684286152966
