feature,f_score,p_value,selected
skewness,6.715411395807443,0.015013971315523624,True
mean,5.7806453864272775,0.02306484476387086,True
dfa,4.647230263559155,0.03984540417804678,True
rel_alpha,2.706901250988009,0.11109649640727519,True
ind_alpha_power,2.6685797986442985,0.1135432798487023,True
psd_alpha,2.343273621307239,0.1370459189278743,False
phase_locking_value,2.306682484150351,0.1400306023739661,False
ratio_beta_alpha,2.1261703172551307,0.15592860266484912,False
microstate_var,2.017417717141055,0.16654362929481065,False
ratio_theta_alpha,1.730785751743132,0.19898172991858787,False
hjorth_complexity,1.534051577236886,0.22578899745127506,False
alpha_peak_freq,1.2544247787610623,0.2722245697010561,False
hjorth_mobility,1.003498016699212,0.32504463305181214,False
median,0.9389561605145438,0.34084273316918356,False
higuchi_fd,0.9237857486800733,0.3447101145296352,False
perm_entropy,0.8765669460471351,0.35714922831757834,False
psd_beta,0.6592278514587943,0.42368185536606906,False
psd_gamma_high,0.5838181276564217,0.45121089098502387,False
total_power,0.5541267728234103,0.46283856130706214,False
kurtosis,0.550661595526788,0.46422726542750337,False
signal_coherence,0.5285837824911088,0.47323819988594895,False
wavelet_complexity,0.5047386780412595,0.4833013067332226,False
psd_delta,0.4898969504864353,0.48974821716007866,False
spectral_entropy,0.427225921039878,0.5186855056803905,False
sample_entropy,0.4240567108704059,0.5202288255511037,False
zcr,0.38091992700130756,0.5420982001878814,False
std,0.3579361181587904,0.5544638470389964,False
energy,0.2968679080442201,0.5901664416604719,False
ptp,0.28611024499400484,0.5969466817693697,False
variance,0.2789109798133497,0.6015768404937365,False
hjorth_activity,0.2789109798133497,0.6015768404937365,False
dyn_conn_variance,0.2161647988808965,0.6455733475741977,False
spectral_edge,0.13098802395209583,0.7201269795152182,False
psd_theta,0.06205508570430085,0.8050950921746961,False
psd_gamma_low,0.04934007631529314,0.8258278241411765,False
lempel_ziv,0.02120490865815588,0.8852653844606128,False
energy_ratio,0.00790907973968164,0.9297682189228018,False
