label_combination,best_model,n_samples,samples_a_c_b,samples_a_pu_b,samples_b_m_b,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,samples_i_sg_b,samples_m_et_s,samples_m_gp_s,samples_n_3_s,samples_o_sq_s,samples_p_af_b,samples_p_af_s,samples_p_sf_b,samples_p_sf_s
a_c_b_a_pu_b_b_m_b,RandomForest,72,24.0,24.0,24.0,0.4166666666666667,0.43703703703703706,0.4166666666666667,0.4215167548500882,0.437037037037037,0.4166666666666667,0.4215167548500882,,,,,,,,,
a_c_b_a_pu_b_i_sg_b,SVM,72,24.0,24.0,,0.4444444444444444,0.444055944055944,0.4444444444444444,0.443768115942029,0.44405594405594406,0.4444444444444444,0.44376811594202903,24.0,,,,,,,,
a_c_b_a_pu_b_m_et_s,SVM,72,24.0,24.0,,0.4583333333333333,0.4329848650335466,0.4583333333333333,0.44189599631845383,0.4329848650335466,0.4583333333333333,0.4418959963184538,,24.0,,,,,,,
a_c_b_a_pu_b_m_gp_s,RandomForest,72,24.0,24.0,,0.5138888888888888,0.5166666666666667,0.513888888888889,0.5133333333333333,0.5166666666666667,0.5138888888888888,0.5133333333333333,,,24.0,,,,,,
a_c_b_a_pu_b_n_3_s,RandomForest,72,24.0,24.0,,0.5972222222222222,0.5952520372810227,0.5972222222222222,0.5950251824442389,0.5952520372810228,0.5972222222222222,0.5950251824442389,,,,24.0,,,,,
a_c_b_a_pu_b_o_sq_s,RandomForest,72,24.0,24.0,,0.4444444444444444,0.4481763447280689,0.4444444444444445,0.4440190806064473,0.44817634472806883,0.4444444444444444,0.4440190806064473,,,,,24.0,,,,
a_c_b_a_pu_b_p_af_b,RandomForest,72,24.0,24.0,,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.48378010878010874,0.4861111111111111,0.4861111111111111,0.4837801087801088,,,,,,24.0,,,
a_c_b_a_pu_b_p_af_s,RandomForest,72,24.0,24.0,,0.6666666666666666,0.6638795986622074,0.6666666666666666,0.6646808510638298,0.6638795986622072,0.6666666666666666,0.6646808510638298,,,,,,,24.0,,
a_c_b_a_pu_b_p_sf_b,RandomForest,72,24.0,24.0,,0.375,0.36481481481481487,0.375,0.3686747426243224,0.3648148148148148,0.375,0.3686747426243224,,,,,,,,24.0,
a_c_b_a_pu_b_p_sf_s,RandomForest,72,24.0,24.0,,0.4583333333333333,0.45476190476190476,0.4583333333333333,0.4545454545454546,0.4547619047619048,0.4583333333333333,0.45454545454545453,,,,,,,,,24.0
a_c_b_b_m_b_i_sg_b,SVM,72,24.0,,24.0,0.5138888888888888,0.5277777777777778,0.513888888888889,0.5063492063492063,0.5277777777777778,0.5138888888888888,0.5063492063492063,24.0,,,,,,,,
a_c_b_b_m_b_m_et_s,RandomForest,72,24.0,,24.0,0.6388888888888888,0.6358024691358025,0.6388888888888888,0.6321195144724556,0.6358024691358025,0.6388888888888888,0.6321195144724556,,24.0,,,,,,,
a_c_b_b_m_b_m_gp_s,RandomForest,72,24.0,,24.0,0.4861111111111111,0.4871794871794872,0.4861111111111111,0.48624113475177305,0.4871794871794872,0.4861111111111111,0.4862411347517731,,,24.0,,,,,,
a_c_b_b_m_b_n_3_s,RandomForest,72,24.0,,24.0,0.6666666666666666,0.6668357487922706,0.6666666666666666,0.6665641433878516,0.6668357487922705,0.6666666666666666,0.6665641433878516,,,,24.0,,,,,
a_c_b_b_m_b_o_sq_s,RandomForest,72,24.0,,24.0,0.5138888888888888,0.5142483660130718,0.5138888888888888,0.507137633734614,0.514248366013072,0.5138888888888888,0.507137633734614,,,,,24.0,,,,
a_c_b_b_m_b_p_af_b,SVM,72,24.0,,24.0,0.5972222222222222,0.6113952827507815,0.5972222222222222,0.58791253582156,0.6113952827507815,0.5972222222222222,0.58791253582156,,,,,,24.0,,,
a_c_b_b_m_b_p_af_s,RandomForest,72,24.0,,24.0,0.6944444444444444,0.6986775972283219,0.6944444444444445,0.6952410319662863,0.6986775972283219,0.6944444444444444,0.6952410319662864,,,,,,,24.0,,
a_c_b_b_m_b_p_sf_b,RandomForest,72,24.0,,24.0,0.5416666666666666,0.5495061728395062,0.5416666666666666,0.5432415390398584,0.5495061728395062,0.5416666666666666,0.5432415390398584,,,,,,,,24.0,
a_c_b_b_m_b_p_sf_s,RandomForest,72,24.0,,24.0,0.5972222222222222,0.594047619047619,0.5972222222222222,0.592948717948718,0.594047619047619,0.5972222222222222,0.592948717948718,,,,,,,,,24.0
a_c_b_i_sg_b_m_et_s,RandomForest,72,24.0,,,0.5416666666666666,0.530316742081448,0.5416666666666666,0.5190862924853072,0.530316742081448,0.5416666666666666,0.5190862924853072,24.0,24.0,,,,,,,
a_c_b_i_sg_b_m_gp_s,SVM,72,24.0,,,0.3611111111111111,0.3522100122100122,0.3611111111111111,0.356130007558579,0.35221001221001225,0.3611111111111111,0.356130007558579,24.0,,24.0,,,,,,
a_c_b_i_sg_b_n_3_s,RandomForest,72,24.0,,,0.625,0.6257246376811594,0.625,0.6251809234332031,0.6257246376811594,0.625,0.6251809234332031,24.0,,,24.0,,,,,
a_c_b_i_sg_b_o_sq_s,RandomForest,72,24.0,,,0.4722222222222222,0.4872202056866304,0.47222222222222227,0.4765796401930671,0.4872202056866304,0.4722222222222222,0.47657964019306714,24.0,,,,24.0,,,,
a_c_b_i_sg_b_p_af_b,SVM,72,24.0,,,0.4305555555555556,0.4232901093312993,0.4305555555555556,0.4232106095869909,0.42329010933129924,0.4305555555555556,0.4232106095869909,24.0,,,,,24.0,,,
a_c_b_i_sg_b_p_af_s,SVM,72,24.0,,,0.4722222222222222,0.4721497584541063,0.47222222222222215,0.47205939113233947,0.4721497584541063,0.4722222222222222,0.4720593911323394,24.0,,,,,,24.0,,
a_c_b_i_sg_b_p_sf_b,SVM,72,24.0,,,0.4583333333333333,0.4570707070707071,0.4583333333333333,0.45714975845410627,0.457070707070707,0.4583333333333333,0.45714975845410627,24.0,,,,,,,24.0,
