feature,f_score,p_value,selected
skewness,20.115774455858407,1.3100396958686942e-07,True
mean,14.591548464212996,5.188317687337566e-06,True
energy_ratio,10.618742446943665,9.537680001498174e-05,True
median,7.62344746689616,0.0010201968341034442,False
spectral_entropy,7.4948279711062264,0.0011337138554446556,True
spectral_edge,5.9783720015729465,0.0040324035922651436,False
ratio_beta_alpha,4.921561328255144,0.01004481535737452,False
ind_alpha_power,3.2563915025124435,0.04452328454475653,False
microstate_var,3.0842661111836454,0.05212537742709566,False
ratio_theta_alpha,2.79255387578279,0.06820173757815347,False
rel_alpha,2.283674300133416,0.10956139086747246,False
perm_entropy,1.9736966617298681,0.1467088469920586,False
higuchi_fd,1.921520673634298,0.15413639907500787,False
psd_alpha,1.8989266692701572,0.15747182499148432,False
phase_locking_value,1.5662136286375585,0.2161671903642351,False
signal_coherence,1.33470267492782,0.26994637065720384,False
alpha_peak_freq,1.3202803426410057,0.27372152672186106,False
psd_gamma_high,1.1805379617884744,0.31323890547851996,False
wavelet_complexity,0.9797500310480792,0.3805657996967228,False
psd_delta,0.8861400132199734,0.41688250631415624,False
kurtosis,0.8576557697450901,0.42862677273912664,False
total_power,0.5856699716159018,0.5594761523032903,False
lempel_ziv,0.5745512397190371,0.5656275190674409,False
sample_entropy,0.5686640124328538,0.5689127274500392,False
hjorth_mobility,0.3934196824781682,0.6762493454908245,False
std,0.38337037953706576,0.683003026988281,False
dfa,0.3651207483528078,0.6954458015542453,True
energy,0.276718489848175,0.7591054085143067,False
variance,0.2482581938352488,0.7808523210711725,False
hjorth_activity,0.2482581938352488,0.7808523210711725,False
hjorth_complexity,0.2310975638942769,0.7942738310401039,False
psd_gamma_low,0.16986797006200824,0.8441279912687765,False
zcr,0.11789577178099037,0.8889673340375562,False
dyn_conn_variance,0.05576494000005271,0.945803999603218,False
psd_beta,0.05258777226177003,0.948809029891689,False
psd_theta,0.02234132575892469,0.9779134644278986,False
ptp,0.0031604870886853542,0.9968446462911288,False
