label_combination,best_model,n_samples,samples_m_et_s,samples_n_3_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_m_et_s,recall_m_et_s,f1_m_et_s,precision_n_3_s,recall_n_3_s,f1_n_3_s,samples_p_af_s,precision_p_af_s,recall_p_af_s,f1_p_af_s
m_et_s_n_3_s,RandomForest,66,33.0,33.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,,,,
m_et_s_p_af_s,RandomForest,66,33.0,,0.7272727272727273,0.728110599078341,0.7272727272727273,0.7270220588235294,0.728110599078341,0.7272727272727273,0.7270220588235294,0.7142857142857143,0.7575757575757576,0.7352941176470589,,,,33.0,0.7419354838709677,0.696969696969697,0.71875
n_3_s_p_af_s,SVM,66,,33.0,0.6060606060606061,0.6064516129032258,0.6060606060606061,0.6056985294117647,0.6064516129032259,0.6060606060606061,0.6056985294117647,,,,0.6129032258064516,0.5757575757575758,0.59375,33.0,0.6,0.6363636363636364,0.6176470588235294
