Timestamp,O1,Oz,O2,PO3,PO4,TP7,TP8,Fz
0.0,-1.8474111129762605e-13,-3.488764832582092e-12,-2.0605739337042905e-13,3.552713678800501e-13,-7.247535904753022e-13,1.8758328224066645e-12,8.526512829121202e-14,2.9061197892588098e-12
0.004,-6.525830879782987,-16.559284402601193,-7.128998256627391,-2.20080036162247,-18.034115665065528,-6.421689620779631,-3.146633125329558,5.450407391192101
0.008,-12.174798420725736,-30.243745708288436,-13.112245391274705,-4.820926535521465,-32.73377566980046,-11.183510989978913,-5.68801885000191,10.156040482177318
0.012,-16.416479425077377,-39.33838618859273,-17.194239919885685,-8.011125854368316,-42.04693557805131,-13.312096848277804,-7.158608068703373,13.707039723738333
0.016,-19.2236849233714,-43.83081572937814,-19.213778907704317,-11.523258101064357,-45.86735634865784,-12.869333098323054,-7.371865811009286,16.149418569165796
0.02,-20.971516393780526,-45.10279107342866,-19.55299430746159,-14.781181497927705,-45.796804640917586,-10.792124554562449,-6.504552560718977,17.869122327753914
0.024,-22.143190620184605,-44.968979653907795,-18.860940540517873,-17.111369353478068,-44.16385857143862,-8.34673004430141,-5.063624435387766,19.309525386857985
0.028,-23.01706228351778,-44.65908888709145,-17.711949345965934,-18.01928892910776,-42.859235059353665,-6.475229939621272,-3.693947329488637,20.7047318891032
0.032,-23.518582454996185,-44.33083526491706,-16.39606859977425,-17.37355458348476,-42.58615133096495,-5.393302869626993,-2.8723060061319643,22.038105300581236
0.036000000000000004,-23.328567037077065,-43.34477580833934,-14.927424382770212,-15.449311243627221,-42.866667707610986,-4.673396749329697,-2.6642537247649187,23.17062923973316
0.04,-22.138500241320486,-41.01043190820116,-13.179424762869857,-12.810470495855597,-42.651374659997856,-3.7023558657410263,-2.66704537326666,24.018685734397792
0.044,-19.877533407325174,-37.23917998596082,-11.0111274650035,-10.075503908600993,-41.0531923039946,-2.1976081672746943,-2.209111331750705,24.644872671415243
0.048,-16.79450575937964,-32.72071192230569,-8.354736012636536,-7.699085022253314,-37.82440181110064,-0.4765805387413735,-0.7702632618797622,25.164549734186956
0.052000000000000005,-13.358567756487737,-28.559724015270298,-5.253595525845363,-5.853639514400186,-33.385375474805656,0.6705007874267181,1.6172723878087822,25.55166032767476
0.056,-10.04408581565238,-25.6559512265803,-1.8810877383159088,-4.426262667367737,-28.504851402618787,0.43176335103900954,4.260887440250386,25.526026875807915
0.06,-7.147437302042896,-24.27650014555919,1.405625119129649,-3.13099596162958,-23.934213790254283,-1.5297897352823497,6.086133187102192,24.639689323034574
0.064,-4.715516022868584,-24.028442298601774,4.049912196213288,-1.6665198599738602,-20.17697453918537,-4.824281509806752,6.195002021426177,22.561470369100213
0.068,-2.59167825131707,-24.183896223226377,5.403940221714166,0.15947917503734743,-17.448281666297127,-8.465975030972075,4.4383606012095385,19.422146618746005
0.07200000000000001,-0.5375116793201187,-24.100271921623637,4.982635604544637,2.3618658901674223,-15.745627401330623,-11.33505102698723,1.6566344279176803,15.977612889553185
0.076,1.62188567532543,-23.47089436910469,2.7659533699261623,4.757402002006721,-14.912623866651067,-12.70666227983483,-0.5949436670274224,13.446191724194804
0.08,3.8553825577535292,-22.3398323813052,-0.667360957673111,6.951282326493157,-14.689610553625407,-12.558784039217528,-0.7566710443075593,13.02569175368096
0.084,5.872472450215646,-20.917211802950554,-4.266663352359583,8.369618748588628,-14.72791271747494,-11.506528621401415,1.9389613926967115,15.320301545497237
0.088,7.17467214859203,-19.425881564419477,-6.917476647356189,8.361561113891419,-14.662128939438993,-10.416278555704864,7.016644563940247,20.00229155852844
0.092,7.152365098829421,-18.169031007433937,-8.014994528045555,6.34054894795382,-14.326151112740494,-9.934692111065104,12.873007365214427,25.84662517053279
0.096,5.275467400710248,-17.67226860239299,-7.8319127966791555,1.9833225600850852,-13.967278299054392,-10.21361534405247,17.42785003696573,31.14278272239802
